State,Year,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate
Delaware,2007,Other opioids,T40.2,12,871749,Unreliable
Delaware,2008,Other opioids,T40.2,29,883874,3.3
Delaware,2009,Other opioids,T40.2,41,891730,4.6
Delaware,2010,Other opioids,T40.2,47,897934,5.2
Delaware,2011,Other opioids,T40.2,64,907135,7.1
Delaware,2012,Other opioids,T40.2,37,917092,4
Delaware,2013,Other opioids,T40.2,35,925749,3.8
Delaware,2014,Other opioids,T40.2,38,935614,4.1
Delaware,2015,Other opioids,T40.2,36,945934,3.8
Delaware,2016,Other opioids,T40.2,31,952065,3.3
Delaware,2017,Other opioids,T40.2,64,961939,6.7
Delaware,2018,Other opioids,T40.2,62,967171,6.4
Delaware,2019,Other opioids,T40.2,51,973764,5.2
Delaware,2020,Other opioids,T40.2,52,986809,5.3
District of Columbia,2004,Other opioids,T40.2,19,567754,Unreliable
District of Columbia,2006,Other opioids,T40.2,14,570681,Unreliable
District of Columbia,2011,Other opioids,T40.2,11,617996,Unreliable
District of Columbia,2012,Other opioids,T40.2,13,632323,Unreliable
District of Columbia,2013,Other opioids,T40.2,10,646449,Unreliable
District of Columbia,2014,Other opioids,T40.2,19,658893,Unreliable
District of Columbia,2015,Other opioids,T40.2,21,672228,3.1
District of Columbia,2016,Other opioids,T40.2,52,681170,7.6
District of Columbia,2017,Other opioids,T40.2,39,693972,5.6
District of Columbia,2018,Other opioids,T40.2,32,702455,4.6
District of Columbia,2019,Other opioids,T40.2,24,705749,3.4
District of Columbia,2020,Other opioids,T40.2,37,712816,5.2
Florida,1999,Other opioids,T40.2,156,15759421,1
Florida,2000,Other opioids,T40.2,239,15982378,1.5
Florida,2001,Other opioids,T40.2,437,16356966,2.7
Florida,2002,Other opioids,T40.2,405,16689370,2.4
Florida,2003,Other opioids,T40.2,438,17004085,2.6
Florida,2004,Other opioids,T40.2,540,17415318,3.1
Florida,2005,Other opioids,T40.2,496,17842038,2.8
Florida,2006,Other opioids,T40.2,583,18166990,3.2
Florida,2007,Other opioids,T40.2,769,18367842,4.2
Florida,2008,Other opioids,T40.2,858,18527305,4.6
Florida,2009,Other opioids,T40.2,1011,18652644,5.4
Florida,2010,Other opioids,T40.2,1169,18801310,6.2
Florida,2011,Other opioids,T40.2,1062,19057542,5.6
Florida,2012,Other opioids,T40.2,850,19317568,4.4
Florida,2013,Other opioids,T40.2,751,19552860,3.8
Florida,2014,Other opioids,T40.2,697,19893297,3.5
Florida,2015,Other opioids,T40.2,789,20271272,3.9
Florida,2016,Other opioids,T40.2,1030,20612439,5
Florida,2017,Other opioids,T40.2,1133,20984400,5.4
Florida,2018,Other opioids,T40.2,1150,21299325,5.4
Florida,2019,Other opioids,T40.2,1085,21477737,5.1
Florida,2020,Other opioids,T40.2,1112,21733312,5.1
Georgia,1999,Other opioids,T40.2,26,8045965,0.3
Georgia,2000,Other opioids,T40.2,61,8186453,0.7
Georgia,2001,Other opioids,T40.2,90,8377038,1.1
Georgia,2002,Other opioids,T40.2,96,8508256,1.1
Georgia,2003,Other opioids,T40.2,88,8622793,1
Georgia,2004,Other opioids,T40.2,100,8769252,1.1
Georgia,2005,Other opioids,T40.2,122,8925922,1.4
Georgia,2006,Other opioids,T40.2,130,9155813,1.4
Georgia,2007,Other opioids,T40.2,139,9349988,1.5
Georgia,2008,Other opioids,T40.2,193,9504843,2
Georgia,2009,Other opioids,T40.2,252,9620846,2.6
Georgia,2010,Other opioids,T40.2,305,9687653,3.1
Georgia,2011,Other opioids,T40.2,327,9815210,3.3
Georgia,2012,Other opioids,T40.2,300,9919945,3
Georgia,2013,Other opioids,T40.2,309,9992167,3.1
Georgia,2014,Other opioids,T40.2,388,10097343,3.8
Georgia,2015,Other opioids,T40.2,435,10214860,4.3
Georgia,2016,Other opioids,T40.2,455,10310371,4.4
Georgia,2017,Other opioids,T40.2,513,10429379,4.9
Georgia,2018,Other opioids,T40.2,395,10519475,3.8
Georgia,2019,Other opioids,T40.2,361,10617423,3.4
Georgia,2020,Other opioids,T40.2,443,10710017,4.1
Hawaii,1999,Other opioids,T40.2,22,1210300,1.8
Hawaii,2000,Other opioids,T40.2,23,1211537,1.9
Hawaii,2001,Other opioids,T40.2,27,1225948,2.2
Hawaii,2002,Other opioids,T40.2,27,1239613,2.2
Hawaii,2003,Other opioids,T40.2,25,1251154,2
Hawaii,2004,Other opioids,T40.2,32,1273569,2.5
Hawaii,2005,Other opioids,T40.2,39,1292729,3
Hawaii,2006,Other opioids,T40.2,30,1309731,2.3
Hawaii,2007,Other opioids,T40.2,49,1315675,3.7
Hawaii,2008,Other opioids,T40.2,34,1332213,2.6
Hawaii,2009,Other opioids,T40.2,35,1346717,2.6
Hawaii,2010,Other opioids,T40.2,40,1360301,2.9
Hawaii,2011,Other opioids,T40.2,47,1374810,3.4
Hawaii,2012,Other opioids,T40.2,35,1392313,2.5
Hawaii,2013,Other opioids,T40.2,39,1404054,2.8
Hawaii,2014,Other opioids,T40.2,35,1419561,2.5
Hawaii,2015,Other opioids,T40.2,37,1431603,2.6
Hawaii,2016,Other opioids,T40.2,44,1428557,3.1
Hawaii,2017,Other opioids,T40.2,33,1427538,2.3
Hawaii,2018,Other opioids,T40.2,27,1420491,1.9
Hawaii,2019,Other opioids,T40.2,24,1415872,1.7
Hawaii,2020,Other opioids,T40.2,28,1407006,2
Idaho,1999,Other opioids,T40.2,11,1275674,Unreliable
Idaho,2000,Other opioids,T40.2,17,1293953,Unreliable
Idaho,2001,Other opioids,T40.2,30,1319962,2.3
Idaho,2002,Other opioids,T40.2,25,1340372,1.9
Idaho,2003,Other opioids,T40.2,29,1363380,2.1
Idaho,2004,Other opioids,T40.2,21,1391802,1.5
Idaho,2005,Other opioids,T40.2,25,1428241,1.8
Idaho,2006,Other opioids,T40.2,30,1468669,2
Idaho,2007,Other opioids,T40.2,32,1505105,2.1
Idaho,2008,Other opioids,T40.2,47,1534320,3.1
Idaho,2009,Other opioids,T40.2,35,1554439,2.3
Idaho,2010,Other opioids,T40.2,42,1567582,2.7
Idaho,2011,Other opioids,T40.2,45,1584985,2.8
Idaho,2012,Other opioids,T40.2,33,1595728,2.1
Idaho,2013,Other opioids,T40.2,51,1612136,3.2
Idaho,2014,Other opioids,T40.2,42,1634464,2.6
Idaho,2015,Other opioids,T40.2,51,1654930,3.1
Idaho,2016,Other opioids,T40.2,64,1683140,3.8
Idaho,2017,Other opioids,T40.2,55,1716943,3.2
Idaho,2018,Other opioids,T40.2,68,1754208,3.9
Idaho,2019,Other opioids,T40.2,75,1787065,4.2
Idaho,2020,Other opioids,T40.2,83,1826913,4.5
Illinois,1999,Other opioids,T40.2,43,12359020,0.3
Illinois,2000,Other opioids,T40.2,45,12419293,0.4
Illinois,2001,Other opioids,T40.2,71,12488445,0.6
Illinois,2002,Other opioids,T40.2,79,12525556,0.6
Illinois,2003,Other opioids,T40.2,63,12556006,0.5
Illinois,2004,Other opioids,T40.2,74,12589773,0.6
Illinois,2005,Other opioids,T40.2,96,12609903,0.8
Illinois,2006,Other opioids,T40.2,107,12643955,0.8
Illinois,2007,Other opioids,T40.2,144,12695866,1.1
Illinois,2008,Other opioids,T40.2,178,12747038,1.4
Illinois,2009,Other opioids,T40.2,195,12796778,1.5
Illinois,2010,Other opioids,T40.2,175,12830632,1.4
Illinois,2011,Other opioids,T40.2,165,12869257,1.3
Illinois,2012,Other opioids,T40.2,175,12875255,1.4
Illinois,2013,Other opioids,T40.2,185,12882135,1.4
Illinois,2014,Other opioids,T40.2,253,12880580,2
Illinois,2015,Other opioids,T40.2,271,12859995,2.1
Illinois,2016,Other opioids,T40.2,378,12801539,3
Illinois,2017,Other opioids,T40.2,494,12802023,3.9
Illinois,2018,Other opioids,T40.2,407,12741080,3.2
Illinois,2019,Other opioids,T40.2,420,12671821,3.3
Illinois,2020,Other opioids,T40.2,516,12587530,4.1
Indiana,1999,Other opioids,T40.2,16,6044969,Unreliable
Indiana,2000,Other opioids,T40.2,14,6080485,Unreliable
Indiana,2001,Other opioids,T40.2,28,6127760,0.5
Indiana,2002,Other opioids,T40.2,25,6155967,0.4
Indiana,2003,Other opioids,T40.2,40,6196638,0.6
Indiana,2004,Other opioids,T40.2,50,6233007,0.8
Indiana,2005,Other opioids,T40.2,59,6278616,0.9
Indiana,2006,Other opioids,T40.2,49,6332669,0.8
Indiana,2007,Other opioids,T40.2,81,6379599,1.3
Indiana,2008,Other opioids,T40.2,109,6424806,1.7
Indiana,2009,Other opioids,T40.2,148,6459325,2.3
Indiana,2010,Other opioids,T40.2,140,6483802,2.2
Indiana,2011,Other opioids,T40.2,173,6516922,2.7
Indiana,2012,Other opioids,T40.2,136,6537334,2.1
Indiana,2013,Other opioids,T40.2,111,6570902,1.7
Indiana,2014,Other opioids,T40.2,149,6596855,2.3
Indiana,2015,Other opioids,T40.2,146,6619680,2.2
Indiana,2016,Other opioids,T40.2,231,6633053,3.5
Indiana,2017,Other opioids,T40.2,390,6666818,5.8
Indiana,2018,Other opioids,T40.2,323,6691878,4.8
Indiana,2019,Other opioids,T40.2,354,6732219,5.3
Indiana,2020,Other opioids,T40.2,418,6754953,6.2
Iowa,2001,Other opioids,T40.2,15,2931997,Unreliable
Iowa,2002,Other opioids,T40.2,17,2934234,Unreliable
Iowa,2003,Other opioids,T40.2,15,2941999,Unreliable
Iowa,2004,Other opioids,T40.2,34,2953635,1.2
Iowa,2005,Other opioids,T40.2,33,2964454,1.1
Iowa,2006,Other opioids,T40.2,51,2982644,1.7
Iowa,2007,Other opioids,T40.2,53,2999212,1.8
Iowa,2008,Other opioids,T40.2,78,3016734,2.6
Iowa,2009,Other opioids,T40.2,83,3032870,2.7
Iowa,2010,Other opioids,T40.2,75,3046355,2.5
Iowa,2011,Other opioids,T40.2,88,3062309,2.9
Iowa,2012,Other opioids,T40.2,100,3074186,3.3
Iowa,2013,Other opioids,T40.2,106,3090416,3.4
Iowa,2014,Other opioids,T40.2,81,3107126,2.6
Iowa,2015,Other opioids,T40.2,75,3123899,2.4
Iowa,2016,Other opioids,T40.2,82,3134693,2.6
Iowa,2017,Other opioids,T40.2,95,3145711,3
Iowa,2018,Other opioids,T40.2,54,3156145,1.7
Iowa,2019,Other opioids,T40.2,53,3155070,1.7
Iowa,2020,Other opioids,T40.2,52,3163561,1.6
Kansas,1999,Other opioids,T40.2,10,2678338,Unreliable
Kansas,2001,Other opioids,T40.2,22,2702162,0.8
Kansas,2002,Other opioids,T40.2,40,2713535,1.5
Kansas,2003,Other opioids,T40.2,39,2723004,1.4
Kansas,2004,Other opioids,T40.2,59,2734373,2.2
Kansas,2005,Other opioids,T40.2,52,2745299,1.9
Kansas,2006,Other opioids,T40.2,62,2762931,2.2
Kansas,2007,Other opioids,T40.2,57,2783785,2
Kansas,2008,Other opioids,T40.2,48,2808076,1.7
Kansas,2009,Other opioids,T40.2,60,2832704,2.1
Kansas,2010,Other opioids,T40.2,52,2853118,1.8
Kansas,2011,Other opioids,T40.2,70,2871238,2.4
Kansas,2012,Other opioids,T40.2,88,2885905,3
Kansas,2013,Other opioids,T40.2,88,2893957,3
Kansas,2014,Other opioids,T40.2,91,2904021,3.1
Kansas,2015,Other opioids,T40.2,74,2911641,2.5
Kansas,2016,Other opioids,T40.2,83,2907289,2.9
Kansas,2017,Other opioids,T40.2,74,2913123,2.5
Kansas,2018,Other opioids,T40.2,73,2911505,2.5
Kansas,2019,Other opioids,T40.2,68,2913314,2.3
Kansas,2020,Other opioids,T40.2,76,2913805,2.6
Kentucky,1999,Other opioids,T40.2,35,4018053,0.9
Kentucky,2000,Other opioids,T40.2,51,4041769,1.3
Kentucky,2001,Other opioids,T40.2,87,4068132,2.1
Kentucky,2002,Other opioids,T40.2,81,4089875,2
Kentucky,2003,Other opioids,T40.2,93,4117170,2.3
Kentucky,2004,Other opioids,T40.2,89,4146101,2.1
Kentucky,2005,Other opioids,T40.2,128,4182742,3.1
Kentucky,2006,Other opioids,T40.2,169,4219239,4
Kentucky,2007,Other opioids,T40.2,184,4256672,4.3
Kentucky,2008,Other opioids,T40.2,229,4289878,5.3
Kentucky,2009,Other opioids,T40.2,290,4317074,6.7
Kentucky,2010,Other opioids,T40.2,436,4339367,10
Kentucky,2011,Other opioids,T40.2,469,4369356,10.7
Kentucky,2012,Other opioids,T40.2,391,4380415,8.9
Kentucky,2013,Other opioids,T40.2,349,4395295,7.9
Kentucky,2014,Other opioids,T40.2,344,4413457,7.8
Kentucky,2015,Other opioids,T40.2,382,4425092,8.6
Kentucky,2016,Other opioids,T40.2,403,4436974,9.1
Kentucky,2017,Other opioids,T40.2,399,4454189,9
Kentucky,2018,Other opioids,T40.2,290,4468402,6.5
Kentucky,2019,Other opioids,T40.2,321,4467673,7.2
Kentucky,2020,Other opioids,T40.2,432,4477251,9.6
Louisiana,1999,Other opioids,T40.2,10,4460811,Unreliable
Louisiana,2000,Other opioids,T40.2,24,4468976,0.5
Louisiana,2001,Other opioids,T40.2,44,4477875,1
Louisiana,2002,Other opioids,T40.2,39,4497267,0.9
Louisiana,2003,Other opioids,T40.2,52,4521042,1.2
Louisiana,2004,Other opioids,T40.2,55,4552238,1.2
Louisiana,2005,Other opioids,T40.2,54,4576628,1.2
Louisiana,2006,Other opioids,T40.2,61,4302665,1.4
Louisiana,2007,Other opioids,T40.2,88,4375581,2
Louisiana,2008,Other opioids,T40.2,59,4435586,1.3
Louisiana,2009,Other opioids,T40.2,57,4491648,1.3
Louisiana,2010,Other opioids,T40.2,68,4533372,1.5
Louisiana,2011,Other opioids,T40.2,58,4574836,1.3
Louisiana,2012,Other opioids,T40.2,75,4601893,1.6
Louisiana,2013,Other opioids,T40.2,86,4625470,1.9
Louisiana,2014,Other opioids,T40.2,93,4649676,2
Louisiana,2015,Other opioids,T40.2,108,4670724,2.3
Louisiana,2016,Other opioids,T40.2,111,4681666,2.4
Louisiana,2017,Other opioids,T40.2,161,4684333,3.4
Louisiana,2018,Other opioids,T40.2,135,4659978,2.9
Louisiana,2019,Other opioids,T40.2,170,4648794,3.7
Louisiana,2020,Other opioids,T40.2,249,4645318,5.4
Maine,2001,Other opioids,T40.2,19,1285692,Unreliable
Maine,2002,Other opioids,T40.2,25,1295960,1.9
Maine,2003,Other opioids,T40.2,29,1306513,2.2
Maine,2004,Other opioids,T40.2,27,1313688,2.1
Maine,2005,Other opioids,T40.2,37,1318787,2.8
Maine,2006,Other opioids,T40.2,41,1323619,3.1
Maine,2007,Other opioids,T40.2,53,1327040,4
Maine,2008,Other opioids,T40.2,46,1330509,3.5
Maine,2009,Other opioids,T40.2,75,1329590,5.6
Maine,2010,Other opioids,T40.2,52,1328361,3.9
Maine,2011,Other opioids,T40.2,40,1328188,3
Maine,2012,Other opioids,T40.2,61,1329192,4.6
Maine,2013,Other opioids,T40.2,64,1328302,4.8
Maine,2014,Other opioids,T40.2,80,1330089,6
Maine,2015,Other opioids,T40.2,102,1329328,7.7
Maine,2016,Other opioids,T40.2,132,1331479,9.9
Maine,2017,Other opioids,T40.2,75,1335907,5.6
Maine,2018,Other opioids,T40.2,56,1338404,4.2
Maine,2019,Other opioids,T40.2,50,1344212,3.7
Maine,2020,Other opioids,T40.2,71,1350141,5.3
Maryland,2000,Other opioids,T40.2,20,5296486,0.4
Maryland,2001,Other opioids,T40.2,22,5374691,0.4
Maryland,2002,Other opioids,T40.2,25,5440389,0.5
Maryland,2003,Other opioids,T40.2,26,5496269,0.5
Maryland,2004,Other opioids,T40.2,76,5546935,1.4
Maryland,2005,Other opioids,T40.2,90,5592379,1.6
Maryland,2006,Other opioids,T40.2,109,5627367,1.9
Maryland,2007,Other opioids,T40.2,132,5653408,2.3
Maryland,2008,Other opioids,T40.2,173,5684965,3
Maryland,2009,Other opioids,T40.2,192,5730388,3.4
Maryland,2010,Other opioids,T40.2,205,5773552,3.6
Maryland,2011,Other opioids,T40.2,238,5828289,4.1
Maryland,2012,Other opioids,T40.2,258,5884563,4.4
Maryland,2013,Other opioids,T40.2,304,5928814,5.1
Maryland,2014,Other opioids,T40.2,388,5976407,6.5
Maryland,2015,Other opioids,T40.2,398,6006401,6.6
Maryland,2016,Other opioids,T40.2,666,6016447,11.1
Maryland,2017,Other opioids,T40.2,524,6052177,8.7
Maryland,2018,Other opioids,T40.2,425,6042718,7
Maryland,2019,Other opioids,T40.2,432,6045680,7.1
Maryland,2020,Other opioids,T40.2,369,6055802,6.1
Massachusetts,1999,Other opioids,T40.2,30,6317345,0.5
Massachusetts,2000,Other opioids,T40.2,30,6349097,0.5
Massachusetts,2001,Other opioids,T40.2,69,6397634,1.1
Massachusetts,2002,Other opioids,T40.2,75,6417206,1.2
Massachusetts,2003,Other opioids,T40.2,88,6422565,1.4
Massachusetts,2004,Other opioids,T40.2,65,6412281,1
Massachusetts,2005,Other opioids,T40.2,90,6403290,1.4
Massachusetts,2006,Other opioids,T40.2,153,6410084,2.4
Massachusetts,2007,Other opioids,T40.2,170,6431559,2.6
Massachusetts,2008,Other opioids,T40.2,141,6468967,2.2
Massachusetts,2009,Other opioids,T40.2,153,6517613,2.3
Massachusetts,2010,Other opioids,T40.2,170,6547629,2.6
Massachusetts,2011,Other opioids,T40.2,168,6587536,2.6
Massachusetts,2012,Other opioids,T40.2,171,6646144,2.6
Massachusetts,2013,Other opioids,T40.2,179,6692824,2.7
Massachusetts,2014,Other opioids,T40.2,178,6745408,2.6
Massachusetts,2015,Other opioids,T40.2,225,6794422,3.3
Massachusetts,2016,Other opioids,T40.2,267,6811779,3.9
Massachusetts,2017,Other opioids,T40.2,254,6859819,3.7
Massachusetts,2018,Other opioids,T40.2,253,6902149,3.7
Massachusetts,2019,Other opioids,T40.2,228,6892503,3.3
Massachusetts,2020,Other opioids,T40.2,267,6893574,3.9
Michigan,1999,Other opioids,T40.2,35,9897116,0.4
Michigan,2000,Other opioids,T40.2,45,9938444,0.5
Michigan,2001,Other opioids,T40.2,62,9991120,0.6
Michigan,2002,Other opioids,T40.2,83,10015710,0.8
Michigan,2003,Other opioids,T40.2,80,10041152,0.8
Michigan,2004,Other opioids,T40.2,104,10055315,1
Michigan,2005,Other opioids,T40.2,151,10051137,1.5
Michigan,2006,Other opioids,T40.2,169,10036081,1.7
Michigan,2007,Other opioids,T40.2,182,10001284,1.8
Michigan,2008,Other opioids,T40.2,222,9946889,2.2
Michigan,2009,Other opioids,T40.2,212,9901591,2.1
Michigan,2010,Other opioids,T40.2,244,9883640,2.5
Michigan,2011,Other opioids,T40.2,221,9876187,2.2
Michigan,2012,Other opioids,T40.2,274,9883360,2.8
Michigan,2013,Other opioids,T40.2,283,9895622,2.9
Michigan,2014,Other opioids,T40.2,328,9909877,3.3
Michigan,2015,Other opioids,T40.2,380,9922576,3.8
Michigan,2016,Other opioids,T40.2,560,9928300,5.6
Michigan,2017,Other opioids,T40.2,510,9962311,5.1
Michigan,2018,Other opioids,T40.2,442,9995915,4.4
Michigan,2019,Other opioids,T40.2,361,9986857,3.6
Michigan,2020,Other opioids,T40.2,386,9966555,3.9
