State,Year,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate
District of Columbia,2011,Other synthetic narcotics,T40.4,Suppressed,617996,Suppressed
District of Columbia,2012,Other synthetic narcotics,T40.4,Suppressed,632323,Suppressed
District of Columbia,2013,Other synthetic narcotics,T40.4,Suppressed,646449,Suppressed
District of Columbia,2014,Other synthetic narcotics,T40.4,13,658893,Unreliable
District of Columbia,2015,Other synthetic narcotics,T40.4,26,672228,3.9
District of Columbia,2016,Other synthetic narcotics,T40.4,129,681170,18.9
District of Columbia,2017,Other synthetic narcotics,T40.4,182,693972,26.2
District of Columbia,2018,Other synthetic narcotics,T40.4,162,702455,23.1
District of Columbia,2019,Other synthetic narcotics,T40.4,216,705749,30.6
District of Columbia,2020,Other synthetic narcotics,T40.4,315,712816,44.2
Florida,1999,Other synthetic narcotics,T40.4,59,15759421,0.4
Florida,2000,Other synthetic narcotics,T40.4,84,15982378,0.5
Florida,2001,Other synthetic narcotics,T40.4,117,16356966,0.7
Florida,2002,Other synthetic narcotics,T40.4,136,16689370,0.8
Florida,2003,Other synthetic narcotics,T40.4,175,17004085,1
Florida,2004,Other synthetic narcotics,T40.4,160,17415318,0.9
Florida,2005,Other synthetic narcotics,T40.4,144,17842038,0.8
Florida,2006,Other synthetic narcotics,T40.4,131,18166990,0.7
Florida,2007,Other synthetic narcotics,T40.4,137,18367842,0.7
Florida,2008,Other synthetic narcotics,T40.4,132,18527305,0.7
Florida,2009,Other synthetic narcotics,T40.4,171,18652644,0.9
Florida,2010,Other synthetic narcotics,T40.4,146,18801310,0.8
Florida,2011,Other synthetic narcotics,T40.4,138,19057542,0.7
Florida,2012,Other synthetic narcotics,T40.4,162,19317568,0.8
Florida,2013,Other synthetic narcotics,T40.4,200,19552860,1
Florida,2014,Other synthetic narcotics,T40.4,343,19893297,1.7
Florida,2015,Other synthetic narcotics,T40.4,610,20271272,3
Florida,2016,Other synthetic narcotics,T40.4,1566,20612439,7.6
Florida,2017,Other synthetic narcotics,T40.4,2126,20984400,10.1
Florida,2018,Other synthetic narcotics,T40.4,2091,21299325,9.8
Florida,2019,Other synthetic narcotics,T40.4,2837,21477737,13.2
Florida,2020,Other synthetic narcotics,T40.4,4734,21733312,21.8
Georgia,1999,Other synthetic narcotics,T40.4,11,8045965,Unreliable
Georgia,2000,Other synthetic narcotics,T40.4,12,8186453,Unreliable
Georgia,2001,Other synthetic narcotics,T40.4,27,8377038,0.3
Georgia,2002,Other synthetic narcotics,T40.4,36,8508256,0.4
Georgia,2003,Other synthetic narcotics,T40.4,36,8622793,0.4
Georgia,2004,Other synthetic narcotics,T40.4,35,8769252,0.4
Georgia,2005,Other synthetic narcotics,T40.4,47,8925922,0.5
Georgia,2006,Other synthetic narcotics,T40.4,57,9155813,0.6
Georgia,2007,Other synthetic narcotics,T40.4,65,9349988,0.7
Georgia,2008,Other synthetic narcotics,T40.4,57,9504843,0.6
Georgia,2009,Other synthetic narcotics,T40.4,83,9620846,0.9
Georgia,2010,Other synthetic narcotics,T40.4,103,9687653,1.1
Georgia,2011,Other synthetic narcotics,T40.4,86,9815210,0.9
Georgia,2012,Other synthetic narcotics,T40.4,61,9919945,0.6
Georgia,2013,Other synthetic narcotics,T40.4,80,9992167,0.8
Georgia,2014,Other synthetic narcotics,T40.4,174,10097343,1.7
Georgia,2015,Other synthetic narcotics,T40.4,284,10214860,2.8
Georgia,2016,Other synthetic narcotics,T40.4,277,10310371,2.7
Georgia,2017,Other synthetic narcotics,T40.4,419,10429379,4
Georgia,2018,Other synthetic narcotics,T40.4,349,10519475,3.3
Georgia,2019,Other synthetic narcotics,T40.4,419,10617423,3.9
Georgia,2020,Other synthetic narcotics,T40.4,896,10710017,8.4
Hawaii,1999,Other synthetic narcotics,T40.4,Suppressed,1210300,Suppressed
Hawaii,2000,Other synthetic narcotics,T40.4,Suppressed,1211537,Suppressed
Hawaii,2001,Other synthetic narcotics,T40.4,Suppressed,1225948,Suppressed
Hawaii,2002,Other synthetic narcotics,T40.4,Suppressed,1239613,Suppressed
Hawaii,2003,Other synthetic narcotics,T40.4,Suppressed,1251154,Suppressed
Hawaii,2004,Other synthetic narcotics,T40.4,Suppressed,1273569,Suppressed
Hawaii,2005,Other synthetic narcotics,T40.4,Suppressed,1292729,Suppressed
Hawaii,2006,Other synthetic narcotics,T40.4,Suppressed,1309731,Suppressed
Hawaii,2007,Other synthetic narcotics,T40.4,Suppressed,1315675,Suppressed
Hawaii,2008,Other synthetic narcotics,T40.4,Suppressed,1332213,Suppressed
Hawaii,2009,Other synthetic narcotics,T40.4,Suppressed,1346717,Suppressed
Hawaii,2010,Other synthetic narcotics,T40.4,Suppressed,1360301,Suppressed
Hawaii,2011,Other synthetic narcotics,T40.4,Suppressed,1374810,Suppressed
Hawaii,2012,Other synthetic narcotics,T40.4,Suppressed,1392313,Suppressed
Hawaii,2013,Other synthetic narcotics,T40.4,Suppressed,1404054,Suppressed
Hawaii,2014,Other synthetic narcotics,T40.4,Suppressed,1419561,Suppressed
Hawaii,2015,Other synthetic narcotics,T40.4,13,1431603,Unreliable
Hawaii,2016,Other synthetic narcotics,T40.4,Suppressed,1428557,Suppressed
Hawaii,2017,Other synthetic narcotics,T40.4,Suppressed,1427538,Suppressed
Hawaii,2018,Other synthetic narcotics,T40.4,14,1420491,Unreliable
Hawaii,2019,Other synthetic narcotics,T40.4,20,1415872,1.4
Hawaii,2020,Other synthetic narcotics,T40.4,37,1407006,2.6
Idaho,1999,Other synthetic narcotics,T40.4,Suppressed,1275674,Suppressed
Idaho,2000,Other synthetic narcotics,T40.4,Suppressed,1293953,Suppressed
Idaho,2001,Other synthetic narcotics,T40.4,Suppressed,1319962,Suppressed
Idaho,2002,Other synthetic narcotics,T40.4,Suppressed,1340372,Suppressed
Idaho,2003,Other synthetic narcotics,T40.4,Suppressed,1363380,Suppressed
Idaho,2004,Other synthetic narcotics,T40.4,Suppressed,1391802,Suppressed
Idaho,2005,Other synthetic narcotics,T40.4,Suppressed,1428241,Suppressed
Idaho,2006,Other synthetic narcotics,T40.4,Suppressed,1468669,Suppressed
Idaho,2007,Other synthetic narcotics,T40.4,10,1505105,Unreliable
Idaho,2008,Other synthetic narcotics,T40.4,Suppressed,1534320,Suppressed
Idaho,2009,Other synthetic narcotics,T40.4,11,1554439,Unreliable
Idaho,2010,Other synthetic narcotics,T40.4,14,1567582,Unreliable
Idaho,2011,Other synthetic narcotics,T40.4,Suppressed,1584985,Suppressed
Idaho,2012,Other synthetic narcotics,T40.4,11,1595728,Unreliable
Idaho,2013,Other synthetic narcotics,T40.4,14,1612136,Unreliable
Idaho,2014,Other synthetic narcotics,T40.4,13,1634464,Unreliable
Idaho,2015,Other synthetic narcotics,T40.4,16,1654930,Unreliable
Idaho,2016,Other synthetic narcotics,T40.4,20,1683140,1.2
Idaho,2017,Other synthetic narcotics,T40.4,22,1716943,1.3
Idaho,2018,Other synthetic narcotics,T40.4,28,1754208,1.6
Idaho,2019,Other synthetic narcotics,T40.4,32,1787065,1.8
Idaho,2020,Other synthetic narcotics,T40.4,59,1826913,3.2
Illinois,1999,Other synthetic narcotics,T40.4,25,12359020,0.2
Illinois,2000,Other synthetic narcotics,T40.4,24,12419293,0.2
Illinois,2001,Other synthetic narcotics,T40.4,34,12488445,0.3
Illinois,2002,Other synthetic narcotics,T40.4,40,12525556,0.3
Illinois,2003,Other synthetic narcotics,T40.4,32,12556006,0.3
Illinois,2004,Other synthetic narcotics,T40.4,38,12589773,0.3
Illinois,2005,Other synthetic narcotics,T40.4,59,12609903,0.5
Illinois,2006,Other synthetic narcotics,T40.4,375,12643955,3
Illinois,2007,Other synthetic narcotics,T40.4,101,12695866,0.8
Illinois,2008,Other synthetic narcotics,T40.4,83,12747038,0.7
Illinois,2009,Other synthetic narcotics,T40.4,111,12796778,0.9
Illinois,2010,Other synthetic narcotics,T40.4,115,12830632,0.9
Illinois,2011,Other synthetic narcotics,T40.4,86,12869257,0.7
Illinois,2012,Other synthetic narcotics,T40.4,84,12875255,0.7
Illinois,2013,Other synthetic narcotics,T40.4,87,12882135,0.7
Illinois,2014,Other synthetic narcotics,T40.4,127,12880580,1
Illinois,2015,Other synthetic narcotics,T40.4,278,12859995,2.2
Illinois,2016,Other synthetic narcotics,T40.4,907,12801539,7.1
Illinois,2017,Other synthetic narcotics,T40.4,1251,12802023,9.8
Illinois,2018,Other synthetic narcotics,T40.4,1568,12741080,12.3
Illinois,2019,Other synthetic narcotics,T40.4,1706,12671821,13.5
Illinois,2020,Other synthetic narcotics,T40.4,2471,12587530,19.6
Indiana,1999,Other synthetic narcotics,T40.4,Suppressed,6044969,Suppressed
Indiana,2000,Other synthetic narcotics,T40.4,12,6080485,Unreliable
Indiana,2001,Other synthetic narcotics,T40.4,12,6127760,Unreliable
Indiana,2002,Other synthetic narcotics,T40.4,Suppressed,6155967,Suppressed
Indiana,2003,Other synthetic narcotics,T40.4,26,6196638,0.4
Indiana,2004,Other synthetic narcotics,T40.4,25,6233007,0.4
Indiana,2005,Other synthetic narcotics,T40.4,26,6278616,0.4
Indiana,2006,Other synthetic narcotics,T40.4,48,6332669,0.8
Indiana,2007,Other synthetic narcotics,T40.4,51,6379599,0.8
Indiana,2008,Other synthetic narcotics,T40.4,54,6424806,0.8
Indiana,2009,Other synthetic narcotics,T40.4,64,6459325,1
Indiana,2010,Other synthetic narcotics,T40.4,49,6483802,0.8
Indiana,2011,Other synthetic narcotics,T40.4,40,6516922,0.6
Indiana,2012,Other synthetic narcotics,T40.4,43,6537334,0.7
Indiana,2013,Other synthetic narcotics,T40.4,34,6570902,0.5
Indiana,2014,Other synthetic narcotics,T40.4,83,6596855,1.3
Indiana,2015,Other synthetic narcotics,T40.4,120,6619680,1.8
Indiana,2016,Other synthetic narcotics,T40.4,304,6633053,4.6
Indiana,2017,Other synthetic narcotics,T40.4,649,6666818,9.7
Indiana,2018,Other synthetic narcotics,T40.4,713,6691878,10.7
Indiana,2019,Other synthetic narcotics,T40.4,899,6732219,13.4
Indiana,2020,Other synthetic narcotics,T40.4,1647,6754953,24.4
Iowa,1999,Other synthetic narcotics,T40.4,Suppressed,2917634,Suppressed
Iowa,2000,Other synthetic narcotics,T40.4,Suppressed,2926324,Suppressed
Iowa,2001,Other synthetic narcotics,T40.4,Suppressed,2931997,Suppressed
Iowa,2002,Other synthetic narcotics,T40.4,10,2934234,Unreliable
Iowa,2003,Other synthetic narcotics,T40.4,12,2941999,Unreliable
Iowa,2004,Other synthetic narcotics,T40.4,13,2953635,Unreliable
Iowa,2005,Other synthetic narcotics,T40.4,Suppressed,2964454,Suppressed
Iowa,2006,Other synthetic narcotics,T40.4,16,2982644,Unreliable
Iowa,2007,Other synthetic narcotics,T40.4,18,2999212,Unreliable
Iowa,2008,Other synthetic narcotics,T40.4,25,3016734,0.8
Iowa,2009,Other synthetic narcotics,T40.4,35,3032870,1.2
Iowa,2010,Other synthetic narcotics,T40.4,43,3046355,1.4
Iowa,2011,Other synthetic narcotics,T40.4,29,3062309,0.9
Iowa,2012,Other synthetic narcotics,T40.4,36,3074186,1.2
Iowa,2013,Other synthetic narcotics,T40.4,32,3090416,1
Iowa,2014,Other synthetic narcotics,T40.4,29,3107126,0.9
Iowa,2015,Other synthetic narcotics,T40.4,44,3123899,1.4
Iowa,2016,Other synthetic narcotics,T40.4,58,3134693,1.9
Iowa,2017,Other synthetic narcotics,T40.4,92,3145711,2.9
Iowa,2018,Other synthetic narcotics,T40.4,80,3156145,2.5
Iowa,2019,Other synthetic narcotics,T40.4,102,3155070,3.2
Iowa,2020,Other synthetic narcotics,T40.4,172,3163561,5.4
Kansas,1999,Other synthetic narcotics,T40.4,Suppressed,2678338,Suppressed
Kansas,2000,Other synthetic narcotics,T40.4,Suppressed,2688418,Suppressed
Kansas,2001,Other synthetic narcotics,T40.4,11,2702162,Unreliable
Kansas,2002,Other synthetic narcotics,T40.4,18,2713535,Unreliable
Kansas,2003,Other synthetic narcotics,T40.4,Suppressed,2723004,Suppressed
Kansas,2004,Other synthetic narcotics,T40.4,22,2734373,0.8
Kansas,2005,Other synthetic narcotics,T40.4,17,2745299,Unreliable
Kansas,2006,Other synthetic narcotics,T40.4,19,2762931,Unreliable
Kansas,2007,Other synthetic narcotics,T40.4,19,2783785,Unreliable
Kansas,2008,Other synthetic narcotics,T40.4,18,2808076,Unreliable
Kansas,2009,Other synthetic narcotics,T40.4,35,2832704,1.2
Kansas,2010,Other synthetic narcotics,T40.4,18,2853118,Unreliable
Kansas,2011,Other synthetic narcotics,T40.4,23,2871238,0.8
Kansas,2012,Other synthetic narcotics,T40.4,44,2885905,1.5
Kansas,2013,Other synthetic narcotics,T40.4,37,2893957,1.3
Kansas,2014,Other synthetic narcotics,T40.4,39,2904021,1.3
Kansas,2015,Other synthetic narcotics,T40.4,36,2911641,1.2
Kansas,2016,Other synthetic narcotics,T40.4,27,2907289,0.9
Kansas,2017,Other synthetic narcotics,T40.4,32,2913123,1.1
Kansas,2018,Other synthetic narcotics,T40.4,50,2911505,1.7
Kansas,2019,Other synthetic narcotics,T40.4,75,2913314,2.6
Kansas,2020,Other synthetic narcotics,T40.4,165,2913805,5.7
Kentucky,1999,Other synthetic narcotics,T40.4,10,4018053,Unreliable
Kentucky,2000,Other synthetic narcotics,T40.4,Suppressed,4041769,Suppressed
Kentucky,2001,Other synthetic narcotics,T40.4,19,4068132,Unreliable
Kentucky,2002,Other synthetic narcotics,T40.4,30,4089875,0.7
Kentucky,2003,Other synthetic narcotics,T40.4,27,4117170,0.7
Kentucky,2004,Other synthetic narcotics,T40.4,32,4146101,0.8
Kentucky,2005,Other synthetic narcotics,T40.4,31,4182742,0.7
Kentucky,2006,Other synthetic narcotics,T40.4,50,4219239,1.2
Kentucky,2007,Other synthetic narcotics,T40.4,37,4256672,0.9
Kentucky,2008,Other synthetic narcotics,T40.4,44,4289878,1
Kentucky,2009,Other synthetic narcotics,T40.4,65,4317074,1.5
Kentucky,2010,Other synthetic narcotics,T40.4,53,4339367,1.2
Kentucky,2011,Other synthetic narcotics,T40.4,76,4369356,1.7
Kentucky,2012,Other synthetic narcotics,T40.4,70,4380415,1.6
Kentucky,2013,Other synthetic narcotics,T40.4,76,4395295,1.7
Kentucky,2014,Other synthetic narcotics,T40.4,179,4413457,4.1
Kentucky,2015,Other synthetic narcotics,T40.4,323,4425092,7.3
Kentucky,2016,Other synthetic narcotics,T40.4,465,4436974,10.5
