Notes,State,State Code,Year,Year Code,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate
,Alaska,2,2001,2001,Other opioids,T40.2,Suppressed,633714,Suppressed
,Alaska,2,2001,2001,Methadone,T40.3,Suppressed,633714,Suppressed
,Alaska,2,2001,2001,Other synthetic narcotics,T40.4,Suppressed,633714,Suppressed
,Alaska,2,2002,2002,Other opioids,T40.2,Suppressed,642337,Suppressed
,Alaska,2,2002,2002,Methadone,T40.3,Suppressed,642337,Suppressed
,Alaska,2,2002,2002,Other synthetic narcotics,T40.4,Suppressed,642337,Suppressed
,Alaska,2,2003,2003,Other opioids,T40.2,Suppressed,648414,Suppressed
,Alaska,2,2003,2003,Methadone,T40.3,Suppressed,648414,Suppressed
,Alaska,2,2003,2003,Other synthetic narcotics,T40.4,Suppressed,648414,Suppressed
,Alaska,2,2004,2004,Other opioids,T40.2,Suppressed,659286,Suppressed
,Alaska,2,2004,2004,Methadone,T40.3,Suppressed,659286,Suppressed
,Alaska,2,2004,2004,Other synthetic narcotics,T40.4,Suppressed,659286,Suppressed
,Alaska,2,2005,2005,Other opioids,T40.2,Suppressed,666946,Suppressed
,Alaska,2,2005,2005,Methadone,T40.3,Suppressed,666946,Suppressed
,Alaska,2,2005,2005,Other synthetic narcotics,T40.4,Suppressed,666946,Suppressed
,Alaska,2,2006,2006,Other opioids,T40.2,14,675302,Unreliable
,Alaska,2,2006,2006,Methadone,T40.3,11,675302,Unreliable
,Alaska,2,2006,2006,Other synthetic narcotics,T40.4,Suppressed,675302,Suppressed
,Alaska,2,2007,2007,Other opioids,T40.2,Suppressed,680300,Suppressed
,Alaska,2,2007,2007,Methadone,T40.3,Suppressed,680300,Suppressed
,Alaska,2,2007,2007,Other synthetic narcotics,T40.4,Suppressed,680300,Suppressed
,Alaska,2,2008,2008,Other opioids,T40.2,51,687455,7.4
,Alaska,2,2008,2008,Methadone,T40.3,30,687455,4.4
,Alaska,2,2008,2008,Other synthetic narcotics,T40.4,13,687455,Unreliable
,Alaska,2,2009,2009,Other opioids,T40.2,60,698895,8.6
,Alaska,2,2009,2009,Methadone,T40.3,21,698895,3
,Alaska,2,2009,2009,Other synthetic narcotics,T40.4,22,698895,3.1
,Alaska,2,2010,2010,Other opioids,T40.2,38,710231,5.4
,Alaska,2,2010,2010,Methadone,T40.3,25,710231,3.5
,Alaska,2,2010,2010,Other synthetic narcotics,T40.4,10,710231,Unreliable
,Alaska,2,2011,2011,Other opioids,T40.2,36,722718,5
,Alaska,2,2011,2011,Methadone,T40.3,17,722718,Unreliable
,Alaska,2,2011,2011,Other synthetic narcotics,T40.4,Suppressed,722718,Suppressed
,Alaska,2,2012,2012,Other opioids,T40.2,42,731449,5.7
,Alaska,2,2012,2012,Methadone,T40.3,10,731449,Unreliable
,Alaska,2,2012,2012,Other synthetic narcotics,T40.4,Suppressed,731449,Suppressed
,Alaska,2,2013,2013,Other opioids,T40.2,38,735132,5.2
,Alaska,2,2013,2013,Methadone,T40.3,Suppressed,735132,Suppressed
,Alaska,2,2013,2013,Other synthetic narcotics,T40.4,12,735132,Unreliable
,Alaska,2,2014,2014,Other opioids,T40.2,40,736732,5.4
,Alaska,2,2014,2014,Methadone,T40.3,12,736732,Unreliable
,Alaska,2,2014,2014,Other synthetic narcotics,T40.4,14,736732,Unreliable
,Alaska,2,2015,2015,Other opioids,T40.2,51,738432,6.9
,Alaska,2,2015,2015,Methadone,T40.3,10,738432,Unreliable
,Alaska,2,2015,2015,Other synthetic narcotics,T40.4,14,738432,Unreliable
,Alaska,2,2016,2016,Other opioids,T40.2,45,741894,6.1
,Alaska,2,2016,2016,Methadone,T40.3,13,741894,Unreliable
,Alaska,2,2016,2016,Other synthetic narcotics,T40.4,Suppressed,741894,Suppressed
,Alaska,2,2017,2017,Other opioids,T40.2,47,739795,6.4
,Alaska,2,2017,2017,Methadone,T40.3,Suppressed,739795,Suppressed
,Alaska,2,2017,2017,Other synthetic narcotics,T40.4,37,739795,5
,Alaska,2,2018,2018,Other opioids,T40.2,34,737438,4.6
,Alaska,2,2018,2018,Methadone,T40.3,Suppressed,737438,Suppressed
,Alaska,2,2018,2018,Other synthetic narcotics,T40.4,18,737438,Unreliable
,Alaska,2,2019,2019,Other opioids,T40.2,42,731545,5.7
,Alaska,2,2019,2019,Methadone,T40.3,Suppressed,731545,Suppressed
,Alaska,2,2019,2019,Other synthetic narcotics,T40.4,24,731545,3.3
,Alaska,2,2020,2020,Other opioids,T40.2,38,731158,5.2
,Alaska,2,2020,2020,Methadone,T40.3,Suppressed,731158,Suppressed
,Alaska,2,2020,2020,Other synthetic narcotics,T40.4,69,731158,9.4
,Arizona,4,1999,1999,Other opioids,T40.2,80,5023823,1.6
,Arizona,4,1999,1999,Methadone,T40.3,20,5023823,0.4
,Arizona,4,1999,1999,Other synthetic narcotics,T40.4,22,5023823,0.4
,Arizona,4,2000,2000,Other opioids,T40.2,91,5130632,1.8
,Arizona,4,2000,2000,Methadone,T40.3,14,5130632,Unreliable
,Arizona,4,2000,2000,Other synthetic narcotics,T40.4,17,5130632,Unreliable
,Arizona,4,2001,2001,Other opioids,T40.2,83,5273477,1.6
,Arizona,4,2001,2001,Methadone,T40.3,28,5273477,0.5
,Arizona,4,2001,2001,Other synthetic narcotics,T40.4,20,5273477,0.4
,Arizona,4,2002,2002,Other opioids,T40.2,128,5396255,2.4
,Arizona,4,2002,2002,Methadone,T40.3,57,5396255,1.1
,Arizona,4,2002,2002,Other synthetic narcotics,T40.4,21,5396255,0.4
,Arizona,4,2003,2003,Other opioids,T40.2,132,5510364,2.4
,Arizona,4,2003,2003,Methadone,T40.3,71,5510364,1.3
,Arizona,4,2003,2003,Other synthetic narcotics,T40.4,22,5510364,0.4
,Arizona,4,2004,2004,Other opioids,T40.2,145,5652404,2.6
,Arizona,4,2004,2004,Methadone,T40.3,65,5652404,1.1
,Arizona,4,2004,2004,Other synthetic narcotics,T40.4,28,5652404,0.5
,Arizona,4,2005,2005,Other opioids,T40.2,171,5839077,2.9
,Arizona,4,2005,2005,Methadone,T40.3,87,5839077,1.5
,Arizona,4,2005,2005,Other synthetic narcotics,T40.4,35,5839077,0.6
,Arizona,4,2006,2006,Other opioids,T40.2,187,6029141,3.1
,Arizona,4,2006,2006,Methadone,T40.3,88,6029141,1.5
,Arizona,4,2006,2006,Other synthetic narcotics,T40.4,54,6029141,0.9
,Arizona,4,2007,2007,Other opioids,T40.2,218,6167681,3.5
,Arizona,4,2007,2007,Methadone,T40.3,81,6167681,1.3
,Arizona,4,2007,2007,Other synthetic narcotics,T40.4,38,6167681,0.6
,Arizona,4,2008,2008,Other opioids,T40.2,255,6280362,4.1
,Arizona,4,2008,2008,Methadone,T40.3,89,6280362,1.4
,Arizona,4,2008,2008,Other synthetic narcotics,T40.4,49,6280362,0.8
,Arizona,4,2009,2009,Other opioids,T40.2,312,6343154,4.9
,Arizona,4,2009,2009,Methadone,T40.3,105,6343154,1.7
,Arizona,4,2009,2009,Other synthetic narcotics,T40.4,55,6343154,0.9
,Arizona,4,2010,2010,Other opioids,T40.2,327,6392017,5.1
,Arizona,4,2010,2010,Methadone,T40.3,106,6392017,1.7
,Arizona,4,2010,2010,Other synthetic narcotics,T40.4,68,6392017,1.1
,Arizona,4,2011,2011,Other opioids,T40.2,313,6482505,4.8
,Arizona,4,2011,2011,Methadone,T40.3,55,6482505,0.8
,Arizona,4,2011,2011,Other synthetic narcotics,T40.4,40,6482505,0.6
,Arizona,4,2012,2012,Other opioids,T40.2,326,6553255,5
,Arizona,4,2012,2012,Methadone,T40.3,50,6553255,0.8
,Arizona,4,2012,2012,Other synthetic narcotics,T40.4,36,6553255,0.5
,Arizona,4,2013,2013,Other opioids,T40.2,253,6626624,3.8
,Arizona,4,2013,2013,Methadone,T40.3,64,6626624,1
,Arizona,4,2013,2013,Other synthetic narcotics,T40.4,52,6626624,0.8
,Arizona,4,2014,2014,Other opioids,T40.2,290,6731484,4.3
,Arizona,4,2014,2014,Methadone,T40.3,62,6731484,0.9
,Arizona,4,2014,2014,Other synthetic narcotics,T40.4,57,6731484,0.8
,Arizona,4,2015,2015,Other opioids,T40.2,298,6828065,4.4
,Arizona,4,2015,2015,Methadone,T40.3,75,6828065,1.1
,Arizona,4,2015,2015,Other synthetic narcotics,T40.4,72,6828065,1.1
,Arizona,4,2016,2016,Other opioids,T40.2,326,6931071,4.7
,Arizona,4,2016,2016,Methadone,T40.3,75,6931071,1.1
,Arizona,4,2016,2016,Other synthetic narcotics,T40.4,123,6931071,1.8
,Arizona,4,2017,2017,Other opioids,T40.2,349,7016270,5
,Arizona,4,2017,2017,Methadone,T40.3,83,7016270,1.2
,Arizona,4,2017,2017,Other synthetic narcotics,T40.4,267,7016270,3.8
,Arizona,4,2018,2018,Other opioids,T40.2,311,7171646,4.3
,Arizona,4,2018,2018,Methadone,T40.3,62,7171646,0.9
,Arizona,4,2018,2018,Other synthetic narcotics,T40.4,522,7171646,7.3
,Arizona,4,2019,2019,Other opioids,T40.2,308,7278717,4.2
,Arizona,4,2019,2019,Methadone,T40.3,71,7278717,1
,Arizona,4,2019,2019,Other synthetic narcotics,T40.4,796,7278717,10.9
,Arizona,4,2020,2020,Other opioids,T40.2,318,7421401,4.3
,Arizona,4,2020,2020,Methadone,T40.3,80,7421401,1.1
,Arizona,4,2020,2020,Other synthetic narcotics,T40.4,1476,7421401,19.9
,Arkansas,5,1999,1999,Other opioids,T40.2,Suppressed,2651860,Suppressed
,Arkansas,5,1999,1999,Methadone,T40.3,Suppressed,2651860,Suppressed
,Arkansas,5,1999,1999,Other synthetic narcotics,T40.4,Suppressed,2651860,Suppressed
,Arkansas,5,2000,2000,Other opioids,T40.2,Suppressed,2673400,Suppressed
,Arkansas,5,2000,2000,Methadone,T40.3,Suppressed,2673400,Suppressed
,Arkansas,5,2000,2000,Other synthetic narcotics,T40.4,Suppressed,2673400,Suppressed
,Arkansas,5,2001,2001,Other opioids,T40.2,14,2691571,Unreliable
,Arkansas,5,2001,2001,Methadone,T40.3,Suppressed,2691571,Suppressed
,Arkansas,5,2001,2001,Other synthetic narcotics,T40.4,Suppressed,2691571,Suppressed
,Arkansas,5,2002,2002,Other opioids,T40.2,40,2705927,1.5
,Arkansas,5,2002,2002,Methadone,T40.3,32,2705927,1.2
,Arkansas,5,2002,2002,Other synthetic narcotics,T40.4,24,2705927,0.9
,Arkansas,5,2003,2003,Other opioids,T40.2,50,2724816,1.8
,Arkansas,5,2003,2003,Methadone,T40.3,36,2724816,1.3
,Arkansas,5,2003,2003,Other synthetic narcotics,T40.4,26,2724816,1
,Arkansas,5,2004,2004,Other opioids,T40.2,63,2749686,2.3
,Arkansas,5,2004,2004,Methadone,T40.3,50,2749686,1.8
,Arkansas,5,2004,2004,Other synthetic narcotics,T40.4,30,2749686,1.1
,Arkansas,5,2005,2005,Other opioids,T40.2,60,2781097,2.2
,Arkansas,5,2005,2005,Methadone,T40.3,53,2781097,1.9
,Arkansas,5,2005,2005,Other synthetic narcotics,T40.4,26,2781097,0.9
,Arkansas,5,2006,2006,Other opioids,T40.2,68,2821761,2.4
,Arkansas,5,2006,2006,Methadone,T40.3,70,2821761,2.5
,Arkansas,5,2006,2006,Other synthetic narcotics,T40.4,31,2821761,1.1
,Arkansas,5,2007,2007,Other opioids,T40.2,87,2848650,3.1
,Arkansas,5,2007,2007,Methadone,T40.3,63,2848650,2.2
,Arkansas,5,2007,2007,Other synthetic narcotics,T40.4,27,2848650,0.9
,Arkansas,5,2008,2008,Other opioids,T40.2,110,2874554,3.8
,Arkansas,5,2008,2008,Methadone,T40.3,89,2874554,3.1
,Arkansas,5,2008,2008,Other synthetic narcotics,T40.4,43,2874554,1.5
,Arkansas,5,2009,2009,Other opioids,T40.2,124,2896843,4.3
,Arkansas,5,2009,2009,Methadone,T40.3,70,2896843,2.4
,Arkansas,5,2009,2009,Other synthetic narcotics,T40.4,59,2896843,2
,Arkansas,5,2010,2010,Other opioids,T40.2,118,2915918,4
,Arkansas,5,2010,2010,Methadone,T40.3,56,2915918,1.9
,Arkansas,5,2010,2010,Other synthetic narcotics,T40.4,57,2915918,2
,Arkansas,5,2011,2011,Other opioids,T40.2,114,2937979,3.9
,Arkansas,5,2011,2011,Methadone,T40.3,56,2937979,1.9
,Arkansas,5,2011,2011,Other synthetic narcotics,T40.4,29,2937979,1
,Arkansas,5,2012,2012,Other opioids,T40.2,118,2949131,4
,Arkansas,5,2012,2012,Methadone,T40.3,43,2949131,1.5
,Arkansas,5,2012,2012,Other synthetic narcotics,T40.4,20,2949131,0.7
,Arkansas,5,2013,2013,Other opioids,T40.2,111,2959373,3.8
,Arkansas,5,2013,2013,Methadone,T40.3,42,2959373,1.4
,Arkansas,5,2013,2013,Other synthetic narcotics,T40.4,31,2959373,1
,Arkansas,5,2014,2014,Other opioids,T40.2,119,2966369,4
,Arkansas,5,2014,2014,Methadone,T40.3,29,2966369,1
,Arkansas,5,2014,2014,Other synthetic narcotics,T40.4,32,2966369,1.1
,Arkansas,5,2015,2015,Other opioids,T40.2,144,2978204,4.8
,Arkansas,5,2015,2015,Methadone,T40.3,37,2978204,1.2
,Arkansas,5,2015,2015,Other synthetic narcotics,T40.4,44,2978204,1.5
,Arkansas,5,2016,2016,Other opioids,T40.2,114,2988248,3.8
,Arkansas,5,2016,2016,Methadone,T40.3,32,2988248,1.1
,Arkansas,5,2016,2016,Other synthetic narcotics,T40.4,38,2988248,1.3
,Arkansas,5,2017,2017,Other opioids,T40.2,116,3004279,3.9
,Arkansas,5,2017,2017,Methadone,T40.3,17,3004279,Unreliable
,Arkansas,5,2017,2017,Other synthetic narcotics,T40.4,68,3004279,2.3
,Arkansas,5,2018,2018,Other opioids,T40.2,108,3013825,3.6
,Arkansas,5,2018,2018,Methadone,T40.3,16,3013825,Unreliable
,Arkansas,5,2018,2018,Other synthetic narcotics,T40.4,92,3013825,3.1
,Arkansas,5,2019,2019,Other opioids,T40.2,88,3017804,2.9
,Arkansas,5,2019,2019,Methadone,T40.3,17,3017804,Unreliable
,Arkansas,5,2019,2019,Other synthetic narcotics,T40.4,115,3017804,3.8
,Arkansas,5,2020,2020,Other opioids,T40.2,95,3030522,3.1
,Arkansas,5,2020,2020,Methadone,T40.3,15,3030522,Unreliable
,Arkansas,5,2020,2020,Other synthetic narcotics,T40.4,195,3030522,6.4
,California,6,1999,1999,Other opioids,T40.2,936,33499204,2.8
,California,6,1999,1999,Methadone,T40.3,73,33499204,0.2
,California,6,1999,1999,Other synthetic narcotics,T40.4,87,33499204,0.3
,California,6,2000,2000,Other opioids,T40.2,633,33871648,1.9
,California,6,2000,2000,Methadone,T40.3,51,33871648,0.2
,California,6,2000,2000,Other synthetic narcotics,T40.4,68,33871648,0.2
,California,6,2001,2001,Other opioids,T40.2,319,34479458,0.9
,California,6,2001,2001,Methadone,T40.3,37,34479458,0.1
,California,6,2001,2001,Other synthetic narcotics,T40.4,31,34479458,0.1
,California,6,2002,2002,Other opioids,T40.2,912,34871843,2.6
,California,6,2002,2002,Methadone,T40.3,115,34871843,0.3
,California,6,2002,2002,Other synthetic narcotics,T40.4,117,34871843,0.3
,California,6,2003,2003,Other opioids,T40.2,820,35253159,2.3
,California,6,2003,2003,Methadone,T40.3,144,35253159,0.4
,California,6,2003,2003,Other synthetic narcotics,T40.4,119,35253159,0.3
,California,6,2004,2004,Other opioids,T40.2,751,35574576,2.1
,California,6,2004,2004,Methadone,T40.3,205,35574576,0.6
,California,6,2004,2004,Other synthetic narcotics,T40.4,140,35574576,0.4
,California,6,2005,2005,Other opioids,T40.2,765,35827943,2.1
,California,6,2005,2005,Methadone,T40.3,214,35827943,0.6
,California,6,2005,2005,Other synthetic narcotics,T40.4,123,35827943,0.3
,California,6,2006,2006,Other opioids,T40.2,820,36021202,2.3
,California,6,2006,2006,Methadone,T40.3,276,36021202,0.8
,California,6,2006,2006,Other synthetic narcotics,T40.4,154,36021202,0.4
,California,6,2007,2007,Other opioids,T40.2,917,36250311,2.5
,California,6,2007,2007,Methadone,T40.3,312,36250311,0.9
,California,6,2007,2007,Other synthetic narcotics,T40.4,138,36250311,0.4
,California,6,2008,2008,Other opioids,T40.2,1082,36604337,3
,California,6,2008,2008,Methadone,T40.3,337,36604337,0.9
,California,6,2008,2008,Other synthetic narcotics,T40.4,155,36604337,0.4
,California,6,2009,2009,Other opioids,T40.2,1147,36961229,3.1
,California,6,2009,2009,Methadone,T40.3,426,36961229,1.2
,California,6,2009,2009,Other synthetic narcotics,T40.4,201,36961229,0.5
,California,6,2010,2010,Other opioids,T40.2,1063,37253956,2.9
,California,6,2010,2010,Methadone,T40.3,456,37253956,1.2
,California,6,2010,2010,Other synthetic narcotics,T40.4,205,37253956,0.6
,California,6,2011,2011,Other opioids,T40.2,1167,37691912,3.1
,California,6,2011,2011,Methadone,T40.3,406,37691912,1.1
,California,6,2011,2011,Other synthetic narcotics,T40.4,164,37691912,0.4
,California,6,2012,2012,Other opioids,T40.2,965,38041430,2.5
,California,6,2012,2012,Methadone,T40.3,342,38041430,0.9
,California,6,2012,2012,Other synthetic narcotics,T40.4,146,38041430,0.4
,California,6,2013,2013,Other opioids,T40.2,1039,38332521,2.7
,California,6,2013,2013,Methadone,T40.3,343,38332521,0.9
,California,6,2013,2013,Other synthetic narcotics,T40.4,176,38332521,0.5
,California,6,2014,2014,Other opioids,T40.2,1047,38802500,2.7
,California,6,2014,2014,Methadone,T40.3,337,38802500,0.9
,California,6,2014,2014,Other synthetic narcotics,T40.4,194,38802500,0.5
,California,6,2015,2015,Other opioids,T40.2,1019,39144818,2.6
,California,6,2015,2015,Methadone,T40.3,291,39144818,0.7
,California,6,2015,2015,Other synthetic narcotics,T40.4,229,39144818,0.6
,California,6,2016,2016,Other opioids,T40.2,955,39250017,2.4
,California,6,2016,2016,Methadone,T40.3,281,39250017,0.7
,California,6,2016,2016,Other synthetic narcotics,T40.4,355,39250017,0.9
,California,6,2017,2017,Other opioids,T40.2,973,39536653,2.5
,California,6,2017,2017,Methadone,T40.3,253,39536653,0.6
,California,6,2017,2017,Other synthetic narcotics,T40.4,536,39536653,1.4
,California,6,2018,2018,Other opioids,T40.2,910,39557045,2.3
,California,6,2018,2018,Methadone,T40.3,234,39557045,0.6
,California,6,2018,2018,Other synthetic narcotics,T40.4,865,39557045,2.2
,California,6,2019,2019,Other opioids,T40.2,917,39512223,2.3
,California,6,2019,2019,Methadone,T40.3,210,39512223,0.5
,California,6,2019,2019,Other synthetic narcotics,T40.4,1675,39512223,4.2
,California,6,2020,2020,Other opioids,T40.2,988,39368078,2.5
,California,6,2020,2020,Methadone,T40.3,259,39368078,0.7
,California,6,2020,2020,Other synthetic narcotics,T40.4,4009,39368078,10.2
,Colorado,8,1999,1999,Other opioids,T40.2,42,4226018,1
,Colorado,8,1999,1999,Methadone,T40.3,15,4226018,Unreliable
,Colorado,8,1999,1999,Other synthetic narcotics,T40.4,21,4226018,0.5
,Colorado,8,2000,2000,Other opioids,T40.2,57,4301261,1.3
,Colorado,8,2000,2000,Methadone,T40.3,16,4301261,Unreliable
,Colorado,8,2000,2000,Other synthetic narcotics,T40.4,25,4301261,0.6
,Colorado,8,2001,2001,Other opioids,T40.2,93,4425687,2.1
,Colorado,8,2001,2001,Methadone,T40.3,19,4425687,Unreliable
,Colorado,8,2001,2001,Other synthetic narcotics,T40.4,19,4425687,Unreliable
,Colorado,8,2002,2002,Other opioids,T40.2,69,4490406,1.5
,Colorado,8,2002,2002,Methadone,T40.3,27,4490406,0.6
,Colorado,8,2002,2002,Other synthetic narcotics,T40.4,30,4490406,0.7
,Colorado,8,2003,2003,Other opioids,T40.2,74,4528732,1.6
,Colorado,8,2003,2003,Methadone,T40.3,30,4528732,0.7
,Colorado,8,2003,2003,Other synthetic narcotics,T40.4,22,4528732,0.5
,Colorado,8,2004,2004,Other opioids,T40.2,80,4575013,1.7
,Colorado,8,2004,2004,Methadone,T40.3,40,4575013,0.9
,Colorado,8,2004,2004,Other synthetic narcotics,T40.4,22,4575013,0.5
,Colorado,8,2005,2005,Other opioids,T40.2,105,4631888,2.3
,Colorado,8,2005,2005,Methadone,T40.3,55,4631888,1.2
,Colorado,8,2005,2005,Other synthetic narcotics,T40.4,35,4631888,0.8
,Colorado,8,2006,2006,Other opioids,T40.2,123,4720423,2.6
,Colorado,8,2006,2006,Methadone,T40.3,62,4720423,1.3
,Colorado,8,2006,2006,Other synthetic narcotics,T40.4,27,4720423,0.6
,Colorado,8,2007,2007,Other opioids,T40.2,185,4803868,3.9
,Colorado,8,2007,2007,Methadone,T40.3,58,4803868,1.2
,Colorado,8,2007,2007,Other synthetic narcotics,T40.4,44,4803868,0.9
,Colorado,8,2008,2008,Other opioids,T40.2,176,4889730,3.6
,Colorado,8,2008,2008,Methadone,T40.3,48,4889730,1
,Colorado,8,2008,2008,Other synthetic narcotics,T40.4,39,4889730,0.8
,Colorado,8,2009,2009,Other opioids,T40.2,170,4972195,3.4
,Colorado,8,2009,2009,Methadone,T40.3,57,4972195,1.1
,Colorado,8,2009,2009,Other synthetic narcotics,T40.4,68,4972195,1.4
,Colorado,8,2010,2010,Other opioids,T40.2,135,5029196,2.7
,Colorado,8,2010,2010,Methadone,T40.3,48,5029196,1
,Colorado,8,2010,2010,Other synthetic narcotics,T40.4,58,5029196,1.2
,Colorado,8,2011,2011,Other opioids,T40.2,198,5116796,3.9
,Colorado,8,2011,2011,Methadone,T40.3,61,5116796,1.2
,Colorado,8,2011,2011,Other synthetic narcotics,T40.4,78,5116796,1.5
,Colorado,8,2012,2012,Other opioids,T40.2,223,5187582,4.3
,Colorado,8,2012,2012,Methadone,T40.3,43,5187582,0.8
,Colorado,8,2012,2012,Other synthetic narcotics,T40.4,52,5187582,1
,Colorado,8,2013,2013,Other opioids,T40.2,221,5268367,4.2
,Colorado,8,2013,2013,Methadone,T40.3,41,5268367,0.8
,Colorado,8,2013,2013,Other synthetic narcotics,T40.4,67,5268367,1.3
,Colorado,8,2014,2014,Other opioids,T40.2,259,5355866,4.8
,Colorado,8,2014,2014,Methadone,T40.3,51,5355866,1
,Colorado,8,2014,2014,Other synthetic narcotics,T40.4,80,5355866,1.5
,Colorado,8,2015,2015,Other opioids,T40.2,259,5456574,4.7
,Colorado,8,2015,2015,Methadone,T40.3,34,5456574,0.6
