State,Year,Multiple Cause of death,Deaths,Population,Crude Rate
Alabama,2011,Other synthetic narcotics,19,4802740,Unreliable
Alabama,2012,Other opioids,62,4822023,1.3
Alabama,2012,Methadone,55,4822023,1.1
Alabama,2012,Other synthetic narcotics,16,4822023,Unreliable
Alabama,2013,Other opioids,65,4833722,1.3
Alabama,2013,Methadone,41,4833722,0.8
Alabama,2013,Other synthetic narcotics,30,4833722,0.6
Alabama,2014,Other opioids,90,4849377,1.9
Alabama,2014,Methadone,44,4849377,0.9
Alabama,2014,Other synthetic narcotics,47,4849377,1
Alabama,2015,Other opioids,87,4858979,1.8
Alabama,2015,Methadone,40,4858979,0.8
Alabama,2015,Other synthetic narcotics,70,4858979,1.4
Alabama,2016,Other opioids,94,4863300,1.9
Alabama,2016,Methadone,34,4863300,0.7
Alabama,2016,Other synthetic narcotics,157,4863300,3.2
Alabama,2017,Other opioids,141,4874747,2.9
Alabama,2017,Methadone,30,4874747,0.6
Alabama,2017,Other synthetic narcotics,198,4874747,4.1
Alabama,2018,Other opioids,126,4887871,2.6
Alabama,2018,Methadone,32,4887871,0.7
Alabama,2018,Other synthetic narcotics,147,4887871,3
Alabama,2019,Other opioids,135,4903185,2.8
Alabama,2019,Methadone,32,4903185,0.7
Alabama,2019,Other synthetic narcotics,213,4903185,4.3
Alabama,2020,Other opioids,122,4921532,2.5
Alabama,2020,Methadone,26,4921532,0.5
Alabama,2020,Other synthetic narcotics,442,4921532,9
Alaska,1999,Other opioids,10,624779,Unreliable
Alaska,1999,Methadone,Suppressed,624779,Suppressed
Alaska,1999,Other synthetic narcotics,Suppressed,624779,Suppressed
Alaska,2000,Other opioids,21,626932,3.3
Alaska,2000,Methadone,Suppressed,626932,Suppressed
Alaska,2000,Other synthetic narcotics,Suppressed,626932,Suppressed
Alaska,2001,Other opioids,Suppressed,633714,Suppressed
Alaska,2001,Methadone,Suppressed,633714,Suppressed
Alaska,2001,Other synthetic narcotics,Suppressed,633714,Suppressed
Alaska,2002,Other opioids,Suppressed,642337,Suppressed
Alaska,2002,Methadone,Suppressed,642337,Suppressed
Alaska,2002,Other synthetic narcotics,Suppressed,642337,Suppressed
Alaska,2003,Other opioids,Suppressed,648414,Suppressed
Alaska,2003,Methadone,Suppressed,648414,Suppressed
Alaska,2003,Other synthetic narcotics,Suppressed,648414,Suppressed
Alaska,2004,Other opioids,Suppressed,659286,Suppressed
Alaska,2004,Methadone,Suppressed,659286,Suppressed
Alaska,2004,Other synthetic narcotics,Suppressed,659286,Suppressed
Alaska,2005,Other opioids,Suppressed,666946,Suppressed
Alaska,2005,Methadone,Suppressed,666946,Suppressed
Alaska,2005,Other synthetic narcotics,Suppressed,666946,Suppressed
Alaska,2006,Other opioids,14,675302,Unreliable
Alaska,2006,Methadone,11,675302,Unreliable
Alaska,2006,Other synthetic narcotics,Suppressed,675302,Suppressed
Alaska,2007,Other opioids,Suppressed,680300,Suppressed
Alaska,2007,Methadone,Suppressed,680300,Suppressed
Alaska,2007,Other synthetic narcotics,Suppressed,680300,Suppressed
Alaska,2008,Other opioids,51,687455,7.4
Alaska,2008,Methadone,30,687455,4.4
Alaska,2008,Other synthetic narcotics,13,687455,Unreliable
Alaska,2009,Other opioids,60,698895,8.6
Alaska,2009,Methadone,21,698895,3
Alaska,2009,Other synthetic narcotics,22,698895,3.1
Alaska,2010,Other opioids,38,710231,5.4
Alaska,2010,Methadone,25,710231,3.5
Alaska,2010,Other synthetic narcotics,10,710231,Unreliable
Alaska,2011,Other opioids,36,722718,5
Alaska,2011,Methadone,17,722718,Unreliable
Alaska,2011,Other synthetic narcotics,Suppressed,722718,Suppressed
Alaska,2012,Other opioids,42,731449,5.7
Alaska,2012,Methadone,10,731449,Unreliable
Alaska,2012,Other synthetic narcotics,Suppressed,731449,Suppressed
Alaska,2013,Other opioids,38,735132,5.2
Alaska,2013,Methadone,Suppressed,735132,Suppressed
Alaska,2013,Other synthetic narcotics,12,735132,Unreliable
Alaska,2014,Other opioids,40,736732,5.4
Alaska,2014,Methadone,12,736732,Unreliable
Alaska,2014,Other synthetic narcotics,14,736732,Unreliable
Alaska,2015,Other opioids,51,738432,6.9
Alaska,2015,Methadone,10,738432,Unreliable
Alaska,2015,Other synthetic narcotics,14,738432,Unreliable
Alaska,2016,Other opioids,45,741894,6.1
Alaska,2016,Methadone,13,741894,Unreliable
Alaska,2016,Other synthetic narcotics,Suppressed,741894,Suppressed
Alaska,2017,Other opioids,47,739795,6.4
Alaska,2017,Methadone,Suppressed,739795,Suppressed
Alaska,2017,Other synthetic narcotics,37,739795,5
Alaska,2018,Other opioids,34,737438,4.6
Alaska,2018,Methadone,Suppressed,737438,Suppressed
Alaska,2018,Other synthetic narcotics,18,737438,Unreliable
Alaska,2019,Other opioids,42,731545,5.7
Alaska,2019,Methadone,Suppressed,731545,Suppressed
Alaska,2019,Other synthetic narcotics,24,731545,3.3
Alaska,2020,Other opioids,38,731158,5.2
Alaska,2020,Methadone,Suppressed,731158,Suppressed
Alaska,2020,Other synthetic narcotics,69,731158,9.4
Arizona,1999,Other opioids,80,5023823,1.6
Arizona,1999,Methadone,20,5023823,0.4
Arizona,1999,Other synthetic narcotics,22,5023823,0.4
Arizona,2000,Other opioids,91,5130632,1.8
Arizona,2000,Methadone,14,5130632,Unreliable
Arizona,2000,Other synthetic narcotics,17,5130632,Unreliable
Arizona,2001,Other opioids,83,5273477,1.6
Arizona,2001,Methadone,28,5273477,0.5
Arizona,2001,Other synthetic narcotics,20,5273477,0.4
Arizona,2002,Other opioids,128,5396255,2.4
Arizona,2002,Methadone,57,5396255,1.1
Arizona,2002,Other synthetic narcotics,21,5396255,0.4
Arizona,2003,Other opioids,132,5510364,2.4
Arizona,2003,Methadone,71,5510364,1.3
Arizona,2003,Other synthetic narcotics,22,5510364,0.4
Arizona,2004,Other opioids,145,5652404,2.6
Arizona,2004,Methadone,65,5652404,1.1
Arizona,2004,Other synthetic narcotics,28,5652404,0.5
Arizona,2005,Other opioids,171,5839077,2.9
Arizona,2005,Methadone,87,5839077,1.5
Arizona,2005,Other synthetic narcotics,35,5839077,0.6
Arizona,2006,Other opioids,187,6029141,3.1
Arizona,2006,Methadone,88,6029141,1.5
Arizona,2006,Other synthetic narcotics,54,6029141,0.9
Arizona,2007,Other opioids,218,6167681,3.5
Arizona,2007,Methadone,81,6167681,1.3
Arizona,2007,Other synthetic narcotics,38,6167681,0.6
Arizona,2008,Other opioids,255,6280362,4.1
Arizona,2008,Methadone,89,6280362,1.4
Arizona,2008,Other synthetic narcotics,49,6280362,0.8
Arizona,2009,Other opioids,312,6343154,4.9
Arizona,2009,Methadone,105,6343154,1.7
Arizona,2009,Other synthetic narcotics,55,6343154,0.9
Arizona,2010,Other opioids,327,6392017,5.1
Arizona,2010,Methadone,106,6392017,1.7
Arizona,2010,Other synthetic narcotics,68,6392017,1.1
Arizona,2011,Other opioids,313,6482505,4.8
Arizona,2011,Methadone,55,6482505,0.8
Arizona,2011,Other synthetic narcotics,40,6482505,0.6
Arizona,2012,Other opioids,326,6553255,5
Arizona,2012,Methadone,50,6553255,0.8
Arizona,2012,Other synthetic narcotics,36,6553255,0.5
Arizona,2013,Other opioids,253,6626624,3.8
Arizona,2013,Methadone,64,6626624,1
Arizona,2013,Other synthetic narcotics,52,6626624,0.8
Arizona,2014,Other opioids,290,6731484,4.3
Arizona,2014,Methadone,62,6731484,0.9
Arizona,2014,Other synthetic narcotics,57,6731484,0.8
Arizona,2015,Other opioids,298,6828065,4.4
Arizona,2015,Methadone,75,6828065,1.1
Arizona,2015,Other synthetic narcotics,72,6828065,1.1
Arizona,2016,Other opioids,326,6931071,4.7
Arizona,2016,Methadone,75,6931071,1.1
Arizona,2016,Other synthetic narcotics,123,6931071,1.8
Arizona,2017,Other opioids,349,7016270,5
Arizona,2017,Methadone,83,7016270,1.2
Arizona,2017,Other synthetic narcotics,267,7016270,3.8
Arizona,2018,Other opioids,311,7171646,4.3
Arizona,2018,Methadone,62,7171646,0.9
Arizona,2018,Other synthetic narcotics,522,7171646,7.3
Arizona,2019,Other opioids,308,7278717,4.2
Arizona,2019,Methadone,71,7278717,1
Arizona,2019,Other synthetic narcotics,796,7278717,10.9
Arizona,2020,Other opioids,318,7421401,4.3
Arizona,2020,Methadone,80,7421401,1.1
Arizona,2020,Other synthetic narcotics,1476,7421401,19.9
Arkansas,1999,Other opioids,Suppressed,2651860,Suppressed
Arkansas,1999,Methadone,Suppressed,2651860,Suppressed
Arkansas,1999,Other synthetic narcotics,Suppressed,2651860,Suppressed
Arkansas,2000,Other opioids,Suppressed,2673400,Suppressed
Arkansas,2000,Methadone,Suppressed,2673400,Suppressed
Arkansas,2000,Other synthetic narcotics,Suppressed,2673400,Suppressed
Arkansas,2001,Other opioids,14,2691571,Unreliable
Arkansas,2001,Methadone,Suppressed,2691571,Suppressed
Arkansas,2001,Other synthetic narcotics,Suppressed,2691571,Suppressed
Arkansas,2002,Other opioids,40,2705927,1.5
Arkansas,2002,Methadone,32,2705927,1.2
Arkansas,2002,Other synthetic narcotics,24,2705927,0.9
Arkansas,2003,Other opioids,50,2724816,1.8
Arkansas,2003,Methadone,36,2724816,1.3
Arkansas,2003,Other synthetic narcotics,26,2724816,1
Arkansas,2004,Other opioids,63,2749686,2.3
Arkansas,2004,Methadone,50,2749686,1.8
Arkansas,2004,Other synthetic narcotics,30,2749686,1.1
Arkansas,2005,Other opioids,60,2781097,2.2
Arkansas,2005,Methadone,53,2781097,1.9
Arkansas,2005,Other synthetic narcotics,26,2781097,0.9
Arkansas,2006,Other opioids,68,2821761,2.4
Arkansas,2006,Methadone,70,2821761,2.5
Arkansas,2006,Other synthetic narcotics,31,2821761,1.1
Arkansas,2007,Other opioids,87,2848650,3.1
Arkansas,2007,Methadone,63,2848650,2.2
Arkansas,2007,Other synthetic narcotics,27,2848650,0.9
Arkansas,2008,Other opioids,110,2874554,3.8
Arkansas,2008,Methadone,89,2874554,3.1
Arkansas,2008,Other synthetic narcotics,43,2874554,1.5
Arkansas,2009,Other opioids,124,2896843,4.3
Arkansas,2009,Methadone,70,2896843,2.4
Arkansas,2009,Other synthetic narcotics,59,2896843,2
Arkansas,2010,Other opioids,118,2915918,4
Arkansas,2010,Methadone,56,2915918,1.9
Arkansas,2010,Other synthetic narcotics,57,2915918,2
Arkansas,2011,Other opioids,114,2937979,3.9
Arkansas,2011,Methadone,56,2937979,1.9
Arkansas,2011,Other synthetic narcotics,29,2937979,1
Arkansas,2012,Other opioids,118,2949131,4
Arkansas,2012,Methadone,43,2949131,1.5
Arkansas,2012,Other synthetic narcotics,20,2949131,0.7
Arkansas,2013,Other opioids,111,2959373,3.8
Arkansas,2013,Methadone,42,2959373,1.4
Arkansas,2013,Other synthetic narcotics,31,2959373,1
Arkansas,2014,Other opioids,119,2966369,4
Arkansas,2014,Methadone,29,2966369,1
Arkansas,2014,Other synthetic narcotics,32,2966369,1.1
Arkansas,2015,Other opioids,144,2978204,4.8
Arkansas,2015,Methadone,37,2978204,1.2
Arkansas,2015,Other synthetic narcotics,44,2978204,1.5
Arkansas,2016,Other opioids,114,2988248,3.8
Arkansas,2016,Methadone,32,2988248,1.1
Arkansas,2016,Other synthetic narcotics,38,2988248,1.3
Arkansas,2017,Other opioids,116,3004279,3.9
Arkansas,2017,Methadone,17,3004279,Unreliable
Arkansas,2017,Other synthetic narcotics,68,3004279,2.3
Arkansas,2018,Other opioids,108,3013825,3.6
Arkansas,2018,Methadone,16,3013825,Unreliable
Arkansas,2018,Other synthetic narcotics,92,3013825,3.1
Arkansas,2019,Other opioids,88,3017804,2.9
Arkansas,2019,Methadone,17,3017804,Unreliable
Arkansas,2019,Other synthetic narcotics,115,3017804,3.8
Arkansas,2020,Other opioids,95,3030522,3.1
Arkansas,2020,Methadone,15,3030522,Unreliable
Arkansas,2020,Other synthetic narcotics,195,3030522,6.4
California,1999,Other opioids,936,33499204,2.8
California,1999,Methadone,73,33499204,0.2
California,1999,Other synthetic narcotics,87,33499204,0.3
California,2000,Other opioids,633,33871648,1.9
California,2000,Methadone,51,33871648,0.2
California,2000,Other synthetic narcotics,68,33871648,0.2
California,2001,Other opioids,319,34479458,0.9
California,2001,Methadone,37,34479458,0.1
California,2001,Other synthetic narcotics,31,34479458,0.1
California,2002,Other opioids,912,34871843,2.6
California,2002,Methadone,115,34871843,0.3
California,2002,Other synthetic narcotics,117,34871843,0.3
California,2003,Other opioids,820,35253159,2.3
California,2003,Methadone,144,35253159,0.4
California,2003,Other synthetic narcotics,119,35253159,0.3
California,2004,Other opioids,751,35574576,2.1
California,2004,Methadone,205,35574576,0.6
California,2004,Other synthetic narcotics,140,35574576,0.4
California,2005,Other opioids,765,35827943,2.1
California,2005,Methadone,214,35827943,0.6
California,2005,Other synthetic narcotics,123,35827943,0.3
California,2006,Other opioids,820,36021202,2.3
California,2006,Methadone,276,36021202,0.8
California,2006,Other synthetic narcotics,154,36021202,0.4
California,2007,Other opioids,917,36250311,2.5
California,2007,Methadone,312,36250311,0.9
California,2007,Other synthetic narcotics,138,36250311,0.4
California,2008,Other opioids,1082,36604337,3
California,2008,Methadone,337,36604337,0.9
California,2008,Other synthetic narcotics,155,36604337,0.4
California,2009,Other opioids,1147,36961229,3.1
California,2009,Methadone,426,36961229,1.2
California,2009,Other synthetic narcotics,201,36961229,0.5
California,2010,Other opioids,1063,37253956,2.9
California,2010,Methadone,456,37253956,1.2
California,2010,Other synthetic narcotics,205,37253956,0.6
California,2011,Other opioids,1167,37691912,3.1
California,2011,Methadone,406,37691912,1.1
California,2011,Other synthetic narcotics,164,37691912,0.4
California,2012,Other opioids,965,38041430,2.5
California,2012,Methadone,342,38041430,0.9
California,2012,Other synthetic narcotics,146,38041430,0.4
California,2013,Other opioids,1039,38332521,2.7
California,2013,Methadone,343,38332521,0.9
California,2013,Other synthetic narcotics,176,38332521,0.5
California,2014,Other opioids,1047,38802500,2.7
California,2014,Methadone,337,38802500,0.9
California,2014,Other synthetic narcotics,194,38802500,0.5
California,2015,Other opioids,1019,39144818,2.6
California,2015,Methadone,291,39144818,0.7
California,2015,Other synthetic narcotics,229,39144818,0.6
California,2016,Other opioids,955,39250017,2.4
California,2016,Methadone,281,39250017,0.7
California,2016,Other synthetic narcotics,355,39250017,0.9
California,2017,Other opioids,973,39536653,2.5
California,2017,Methadone,253,39536653,0.6
California,2017,Other synthetic narcotics,536,39536653,1.4
California,2018,Other opioids,910,39557045,2.3
California,2018,Methadone,234,39557045,0.6
California,2018,Other synthetic narcotics,865,39557045,2.2
California,2019,Other opioids,917,39512223,2.3
California,2019,Methadone,210,39512223,0.5
California,2019,Other synthetic narcotics,1675,39512223,4.2
California,2020,Other opioids,988,39368078,2.5
California,2020,Methadone,259,39368078,0.7
California,2020,Other synthetic narcotics,4009,39368078,10.2
Colorado,1999,Other opioids,42,4226018,1
Colorado,1999,Methadone,15,4226018,Unreliable
Colorado,1999,Other synthetic narcotics,21,4226018,0.5
Colorado,2000,Other opioids,57,4301261,1.3
Colorado,2000,Methadone,16,4301261,Unreliable
Colorado,2000,Other synthetic narcotics,25,4301261,0.6
Colorado,2001,Other opioids,93,4425687,2.1
Colorado,2001,Methadone,19,4425687,Unreliable
Colorado,2001,Other synthetic narcotics,19,4425687,Unreliable
Colorado,2002,Other opioids,69,4490406,1.5
Colorado,2002,Methadone,27,4490406,0.6
Colorado,2002,Other synthetic narcotics,30,4490406,0.7
Colorado,2003,Other opioids,74,4528732,1.6
Colorado,2003,Methadone,30,4528732,0.7
Colorado,2003,Other synthetic narcotics,22,4528732,0.5
Colorado,2004,Other opioids,80,4575013,1.7
Colorado,2004,Methadone,40,4575013,0.9
Colorado,2004,Other synthetic narcotics,22,4575013,0.5
Colorado,2005,Other opioids,105,4631888,2.3
Colorado,2005,Methadone,55,4631888,1.2
Colorado,2005,Other synthetic narcotics,35,4631888,0.8
Colorado,2006,Other opioids,123,4720423,2.6
Colorado,2006,Methadone,62,4720423,1.3
Colorado,2006,Other synthetic narcotics,27,4720423,0.6
Colorado,2007,Other opioids,185,4803868,3.9
Colorado,2007,Methadone,58,4803868,1.2
Colorado,2007,Other synthetic narcotics,44,4803868,0.9
Colorado,2008,Other opioids,176,4889730,3.6
Colorado,2008,Methadone,48,4889730,1
Colorado,2008,Other synthetic narcotics,39,4889730,0.8
Colorado,2009,Other opioids,170,4972195,3.4
Colorado,2009,Methadone,57,4972195,1.1
Colorado,2009,Other synthetic narcotics,68,4972195,1.4
Colorado,2010,Other opioids,135,5029196,2.7
Colorado,2010,Methadone,48,5029196,1
Colorado,2010,Other synthetic narcotics,58,5029196,1.2
Colorado,2011,Other opioids,198,5116796,3.9
Colorado,2011,Methadone,61,5116796,1.2
Colorado,2011,Other synthetic narcotics,78,5116796,1.5
Colorado,2012,Other opioids,223,5187582,4.3
Colorado,2012,Methadone,43,5187582,0.8
Colorado,2012,Other synthetic narcotics,52,5187582,1
Colorado,2013,Other opioids,221,5268367,4.2
Colorado,2013,Methadone,41,5268367,0.8
Colorado,2013,Other synthetic narcotics,67,5268367,1.3
Colorado,2014,Other opioids,259,5355866,4.8
Colorado,2014,Methadone,51,5355866,1
Colorado,2014,Other synthetic narcotics,80,5355866,1.5
Colorado,2015,Other opioids,259,5456574,4.7
Colorado,2015,Methadone,34,5456574,0.6
Colorado,2015,Other synthetic narcotics,64,5456574,1.2
Colorado,2016,Other opioids,212,5540545,3.8
Colorado,2016,Methadone,58,5540545,1
Colorado,2016,Other synthetic narcotics,72,5540545,1.3
Colorado,2017,Other opioids,254,5607154,4.5
Colorado,2017,Methadone,58,5607154,1
Colorado,2017,Other synthetic narcotics,112,5607154,2
Colorado,2018,Other opioids,222,5695564,3.9
Colorado,2018,Methadone,55,5695564,1
Colorado,2018,Other synthetic narcotics,134,5695564,2.4
Colorado,2019,Other opioids,232,5758736,4
Colorado,2019,Methadone,36,5758736,0.6
Colorado,2019,Other synthetic narcotics,255,5758736,4.4
Colorado,2020,Other opioids,261,5807719,4.5
Colorado,2020,Methadone,68,5807719,1.2
Colorado,2020,Other synthetic narcotics,590,5807719,10.2
Connecticut,1999,Other opioids,10,3386401,Unreliable
Connecticut,1999,Methadone,13,3386401,Unreliable
Connecticut,1999,Other synthetic narcotics,Suppressed,3386401,Suppressed
Connecticut,2000,Other opioids,Suppressed,3405565,Suppressed
Connecticut,2000,Methadone,15,3405565,Unreliable
Connecticut,2000,Other synthetic narcotics,Suppressed,3405565,Suppressed
Connecticut,2001,Other opioids,17,3432835,Unreliable
Connecticut,2001,Methadone,14,3432835,Unreliable
Connecticut,2001,Other synthetic narcotics,Suppressed,3432835,Suppressed
Connecticut,2002,Other opioids,25,3458749,0.7
Connecticut,2002,Methadone,24,3458749,0.7
Connecticut,2002,Other synthetic narcotics,Suppressed,3458749,Suppressed
Connecticut,2003,Other opioids,23,3484336,0.7
Connecticut,2003,Methadone,19,3484336,Unreliable
Connecticut,2003,Other synthetic narcotics,Suppressed,3484336,Suppressed
Connecticut,2004,Other opioids,30,3496094,0.9
Connecticut,2004,Methadone,44,3496094,1.3
Connecticut,2004,Other synthetic narcotics,10,3496094,Unreliable
Connecticut,2005,Other opioids,28,3506956,0.8
Connecticut,2005,Methadone,35,3506956,1
Connecticut,2005,Other synthetic narcotics,10,3506956,Unreliable
Connecticut,2006,Other opioids,38,3517460,1.1
Connecticut,2006,Methadone,59,3517460,1.7
Connecticut,2006,Other synthetic narcotics,11,3517460,Unreliable
Connecticut,2007,Other opioids,33,3527270,0.9
Connecticut,2007,Methadone,57,3527270,1.6
Connecticut,2007,Other synthetic narcotics,22,3527270,0.6
Connecticut,2008,Other opioids,38,3545579,1.1
Connecticut,2008,Methadone,47,3545579,1.3
Connecticut,2008,Other synthetic narcotics,16,3545579,Unreliable
Connecticut,2009,Other opioids,31,3561807,0.9
Connecticut,2009,Methadone,42,3561807,1.2
Connecticut,2009,Other synthetic narcotics,20,3561807,0.6
Connecticut,2010,Other opioids,41,3574097,1.1
Connecticut,2010,Methadone,43,3574097,1.2
Connecticut,2010,Other synthetic narcotics,22,3574097,0.6
Connecticut,2011,Other opioids,44,3580709,1.2
Connecticut,2011,Methadone,32,3580709,0.9
Connecticut,2011,Other synthetic narcotics,13,3580709,Unreliable
Connecticut,2012,Other opioids,38,3590347,1.1
Connecticut,2012,Methadone,24,3590347,0.7
Connecticut,2012,Other synthetic narcotics,15,3590347,Unreliable
Connecticut,2013,Other opioids,144,3596080,4
Connecticut,2013,Methadone,49,3596080,1.4
Connecticut,2013,Other synthetic narcotics,53,3596080,1.5
Connecticut,2014,Other opioids,157,3596677,4.4
Connecticut,2014,Methadone,50,3596677,1.4
Connecticut,2014,Other synthetic narcotics,94,3596677,2.6
Connecticut,2015,Other opioids,183,3590886,5.1
Connecticut,2015,Methadone,72,3590886,2
Connecticut,2015,Other synthetic narcotics,211,3590886,5.9
Connecticut,2016,Other opioids,206,3576452,5.8
Connecticut,2016,Methadone,72,3576452,2
Connecticut,2016,Other synthetic narcotics,500,3576452,14
Connecticut,2017,Other opioids,188,3588184,5.2
Connecticut,2017,Methadone,95,3588184,2.6
Connecticut,2017,Other synthetic narcotics,686,3588184,19.1
Connecticut,2018,Other opioids,161,3572665,4.5
Connecticut,2018,Methadone,76,3572665,2.1
Connecticut,2018,Other synthetic narcotics,767,3572665,21.5
Connecticut,2019,Other opioids,208,3565287,5.8
Connecticut,2019,Methadone,84,3565287,2.4
Connecticut,2019,Other synthetic narcotics,950,3565287,26.6
Connecticut,2020,Other opioids,216,3557006,6.1
Connecticut,2020,Methadone,113,3557006,3.2
Connecticut,2020,Other synthetic narcotics,1142,3557006,32.1
Delaware,1999,Other opioids,Suppressed,774990,Suppressed
Delaware,1999,Methadone,Suppressed,774990,Suppressed
Delaware,1999,Other synthetic narcotics,Suppressed,774990,Suppressed
Delaware,2000,Other opioids,Suppressed,783600,Suppressed
Delaware,2000,Methadone,Suppressed,783600,Suppressed
Delaware,2000,Other synthetic narcotics,Suppressed,783600,Suppressed
Delaware,2001,Other opioids,10,795699,Unreliable
Delaware,2001,Methadone,Suppressed,795699,Suppressed
Delaware,2001,Other synthetic narcotics,Suppressed,795699,Suppressed
Delaware,2002,Other opioids,19,806169,Unreliable
Delaware,2002,Methadone,Suppressed,806169,Suppressed
Delaware,2002,Other synthetic narcotics,Suppressed,806169,Suppressed
Delaware,2003,Other opioids,11,818003,Unreliable
Delaware,2003,Methadone,13,818003,Unreliable
Delaware,2003,Other synthetic narcotics,Suppressed,818003,Suppressed
Delaware,2004,Other opioids,13,830803,Unreliable
Delaware,2004,Methadone,Suppressed,830803,Suppressed
Delaware,2004,Other synthetic narcotics,Suppressed,830803,Suppressed
Delaware,2005,Other opioids,10,845150,Unreliable
Delaware,2005,Methadone,Suppressed,845150,Suppressed
Delaware,2005,Other synthetic narcotics,Suppressed,845150,Suppressed
Delaware,2006,Other opioids,13,859268,Unreliable
Delaware,2006,Methadone,13,859268,Unreliable
Delaware,2006,Other synthetic narcotics,12,859268,Unreliable
Delaware,2007,Other opioids,12,871749,Unreliable
Delaware,2007,Methadone,18,871749,Unreliable
Delaware,2007,Other synthetic narcotics,Suppressed,871749,Suppressed
Delaware,2008,Other opioids,29,883874,3.3
Delaware,2008,Methadone,18,883874,Unreliable
Delaware,2008,Other synthetic narcotics,Suppressed,883874,Suppressed
Delaware,2009,Other opioids,41,891730,4.6
Delaware,2009,Methadone,21,891730,2.4
Delaware,2009,Other synthetic narcotics,19,891730,Unreliable
Delaware,2010,Other opioids,47,897934,5.2
Delaware,2010,Methadone,20,897934,2.2
Delaware,2010,Other synthetic narcotics,14,897934,Unreliable
Delaware,2011,Other opioids,64,907135,7.1
Delaware,2011,Methadone,23,907135,2.5
Delaware,2011,Other synthetic narcotics,13,907135,Unreliable
Delaware,2012,Other opioids,37,917092,4
Delaware,2012,Methadone,11,917092,Unreliable
Delaware,2012,Other synthetic narcotics,17,917092,Unreliable
Delaware,2013,Other opioids,35,925749,3.8
Delaware,2013,Methadone,21,925749,2.3
Delaware,2013,Other synthetic narcotics,22,925749,2.4
Delaware,2014,Other opioids,38,935614,4.1
Delaware,2014,Methadone,24,935614,2.6
Delaware,2014,Other synthetic narcotics,29,935614,3.1
Delaware,2015,Other opioids,36,945934,3.8
Delaware,2015,Methadone,14,945934,Unreliable
Delaware,2015,Other synthetic narcotics,38,945934,4
Delaware,2016,Other opioids,31,952065,3.3
Delaware,2016,Methadone,11,952065,Unreliable
Delaware,2016,Other synthetic narcotics,79,952065,8.3
Delaware,2017,Other opioids,64,961939,6.7
Delaware,2017,Methadone,15,961939,Unreliable
Delaware,2017,Other synthetic narcotics,178,961939,18.5
Delaware,2018,Other opioids,62,967171,6.4
Delaware,2018,Methadone,24,967171,2.5
Delaware,2018,Other synthetic narcotics,296,967171,30.6
Delaware,2019,Other opioids,51,973764,5.2
Delaware,2019,Methadone,28,973764,2.9
Delaware,2019,Other synthetic narcotics,343,973764,35.2
Delaware,2020,Other opioids,52,986809,5.3
Delaware,2020,Methadone,34,986809,3.4
Delaware,2020,Other synthetic narcotics,361,986809,36.6
District of Columbia,1999,Other opioids,Suppressed,570213,Suppressed
District of Columbia,1999,Methadone,Suppressed,570213,Suppressed
District of Columbia,1999,Other synthetic narcotics,Suppressed,570213,Suppressed
District of Columbia,2000,Other opioids,Suppressed,572059,Suppressed
District of Columbia,2000,Methadone,Suppressed,572059,Suppressed
District of Columbia,2000,Other synthetic narcotics,Suppressed,572059,Suppressed
District of Columbia,2001,Other opioids,Suppressed,574504,Suppressed
District of Columbia,2001,Methadone,Suppressed,574504,Suppressed
District of Columbia,2001,Other synthetic narcotics,Suppressed,574504,Suppressed
