Year,Year Code,Ten-Year Age Groups,Deaths,Population,Crude Rate
2014,2014,65-74 years,812,26398290,3.1
2014,2014,75-84 years,128,13682690,0.9
2014,2014,85+ years,59,6162231,1
2015,2015,< 1 year,12,3978038,Unreliable
2015,2015,1-4 years,41,15929243,0.3
2015,2015,5-14 years,26,41109506,0.1
2015,2015,15-24 years,2936,43848216,6.7
2015,2015,25-34 years,8181,44137202,18.5
2015,2015,35-44 years,7168,40589783,17.7
2015,2015,45-54 years,7215,43188161,16.7
2015,2015,55-64 years,4851,40877819,11.9
2015,2015,65-74 years,913,27550517,3.3
2015,2015,75-84 years,146,13923174,1
2015,2015,85+ years,55,6287161,0.9
2016,2016,< 1 year,11,3970145,Unreliable
2016,2016,1-4 years,36,15956892,0.2
2016,2016,5-14 years,32,41048032,0.1
2016,2016,15-24 years,3883,43511027,8.9
2016,2016,25-34 years,11159,44677243,25
2016,2016,35-44 years,9432,40470156,23.3
2016,2016,45-54 years,8779,42786679,20.5
2016,2016,55-64 years,6086,41463144,14.7
2016,2016,65-74 years,1150,28630330,4
2016,2016,75-84 years,155,14233534,1.1
2016,2016,85+ years,49,6380331,0.8
2017,2017,< 1 year,19,3939295,Unreliable
2017,2017,1-4 years,26,15999565,0.2
2017,2017,5-14 years,34,41082692,0.1
2017,2017,15-24 years,4005,43250295,9.3
2017,2017,25-34 years,12881,45342672,28.4
2017,2017,35-44 years,10894,40875370,26.7
2017,2017,45-54 years,9941,42374952,23.5
2017,2017,55-64 years,6950,41995658,16.5
2017,2017,65-74 years,1376,29683446,4.6
2017,2017,75-84 years,187,14706551,1.3
2017,2017,85+ years,66,6468682,1
2018,2018,< 1 year,15,3848208,Unreliable
2018,2018,1-4 years,27,15962067,0.2
2018,2018,5-14 years,23,41075169,0.1
2018,2018,15-24 years,3558,42970800,8.3
2018,2018,25-34 years,12603,45697774,27.6
2018,2018,35-44 years,11227,41277888,27.2
2018,2018,45-54 years,9387,41631699,22.5
2018,2018,55-64 years,7125,42272636,16.9
2018,2018,65-74 years,1684,30492316,5.5
2018,2018,75-84 years,206,15394374,1.3
2018,2018,85+ years,59,6544503,0.9
2019,2019,< 1 year,19,3783052,Unreliable
2019,2019,1-4 years,39,15793631,0.2
2019,2019,5-14 years,31,40994163,0.1
2019,2019,15-24 years,3681,42687510,8.6
2019,2019,25-34 years,13139,45940321,28.6
2019,2019,35-44 years,12255,41659144,29.4
2019,2019,45-54 years,9858,40874902,24.1
2019,2019,55-64 years,7847,42448537,18.5
2019,2019,65-74 years,1931,31483433,6.1
2019,2019,75-84 years,255,15969872,1.6
2019,2019,85+ years,66,6604958,1
2020,2020,< 1 year,24,3735010,0.6
2020,2020,1-4 years,58,15566282,0.4
2020,2020,5-14 years,61,40992134,0.1
2020,2020,15-24 years,5945,42555684,14
2020,2020,25-34 years,18079,46069646,39.2
2020,2020,35-44 years,17481,42136192,41.5
2020,2020,45-54 years,13120,40366133,32.5
2020,2020,55-64 years,10294,42403677,24.3
2020,2020,65-74 years,2519,32549398,7.7
2020,2020,75-84 years,242,16451547,1.5
2020,2020,85+ years,73,6658420,1.1
